injnum,run,pos,trt,rep,volairjar,etime,ch4pk,co2pk,n2opk,<-height,ch4area,co2area,n2oarea,,,,,,,,,,,,,,
59,1,59,1,5,500,3.033333333,1.489,5.949,2.588,,4.536,22.635,10.534,,,,,,,,,,,,,,
60,1,60,100,,,,6.72,1.081,18.947,,20.331,4.1205,79.322,,,,,,,,,,,,,,
61,2,1,100,,,,6.765,1.074,19.167,,20.5075,4.0805,80.0725,,,,,,,,,,,,,,
62,2,2,100,,,,6.633,1.067,18.418,,20.205,4.0963,77.025,,,,,,,,,,,,,,
63,2,3,100,,,,6.716,1.069,18.932,,20.339,4.102,79.394,,,,,,,,,,,,,,
64,2,4,1,6,500,3.033333333,1.444,5.916,2.356,,4.386,22.895,9.587,,,,,,,,,,,,,,
65,2,5,2,1,500,3.016666667,2.272,11.626,1.033,,6.8765,44.9825,4.108,,,,,,,,,,,,,,
66,2,6,2,2,500,3,2.557,11.166,1.139,,7.792,42.974,4.645,,,,,,,,,,,,,,
67,2,7,2,3,500,3,2.157,10.507,1.176,,6.508,40.405,4.8955,,,,,,,,,,,,,,
68,2,8,2,4,500,3,2.048,11.28,1.62,,6.269,43.602,6.538,,,,,,,,,,,,,,
69,2,9,2,5,500,3,2.175,9.301,1.407,,6.585,35.6935,5.6455,,,,,,,,,,,,,,
70,2,10,2,6,500,3,2.341,9.684,1.703,,7.0935,37.0615,6.839,,,,,,,,,,,,,,
71,2,11,3,1,500,3,1.59,11.261,1.285,,4.7915,43.487,5.175,,,,,,,,,,,,,,
72,2,12,3,2,500,3.016666667,1.497,6.429,1.545,,4.559,24.9005,6.322,,,,,,,,,,,,,,
73,2,13,3,3,500,3.016666667,1.435,6.394,2.008,,4.376,24.5715,8.196,,,,,,,,,,,,,,
74,2,14,100,,,,6.812,1.081,19.349,,20.706,4.1535,81.1455,,,,,,,,,,,,,,
75,2,15,3,4,500,3,1.426,8.474,1.49,,4.315,32.58,5.969,,,,,,,,,,,,,,
76,2,16,3,5,500,3,1.468,5.607,1.226,,4.488,21.1932,4.945,,,,,,,,,,,,,,
77,2,17,3,6,500,3,1.404,5.452,1.266,,4.2825,20.6835,5.0425,,,,,,,,,,,,,,
78,2,18,4,1,500,3.016666667,1.413,6.794,0.673,,4.301,26.004,2.58,,,,,,,,,,,,,,
79,2,19,4,2,500,3.016666667,1.422,8.377,0.775,,4.3375,32.342,3.0055,,,,,,,,,,,,,,
80,2,20,4,3,500,3.016666667,1.482,6.648,0.649,,4.51,25.2708,2.602,,,,,,,,,,,,,,
81,2,21,4,4,500,3,1.436,7.444,0.718,,4.334,28.7058,2.8735,,,,,,,,,,,,,,
82,2,22,4,5,500,3,1.409,7.236,0.677,,4.2935,28.0673,2.774,,,,,,,,,,,,,,
83,2,23,4,6,500,3,1.503,7.267,0.733,,4.6135,27.8905,2.941,,,,,,,,,,,,,,
84,2,24,5,1,500,3,1.574,7.166,0.694,,4.8135,27.6665,2.735,,,,,,,,,,,,,,
85,2,25,100,,,,6.798,1.097,19.349,,20.616,4.2628,81.3305,,,,,,,,,,,,,,
86,2,26,5,2,500,3,1.669,6.651,0.699,,5.143,25.5555,2.816,,,,,,,,,,,,,,
87,2,27,5,3,500,3,1.441,8.761,1.061,,4.424,34.0325,4.2285,,,,,,,,,,,,,,
88,2,28,5,4,500,3,1.432,9.311,0.704,,4.374,35.7205,2.779,,,,,,,,,,,,,,
89,2,29,5,5,500,3,1.57,9.553,1.041,,4.787,36.723,4.201,,,,,,,,,,,,,,
90,2,30,5,6,500,3,1.851,8.214,0.819,,5.659,31.539,3.266,,,,,,,,,,,,,,
91,2,31,6,1,500,3,1.434,5.679,2.522,,4.4235,21.453,10.385,,,,,,,,,,,,,,
92,2,32,6,2,500,3,1.394,5.497,1.533,,4.254,20.8743,6.129,,,,,,,,,,,,,,
93,2,33,6,3,500,3,1.417,4.793,1.366,,4.402,18.052,5.555,,,,,,,,,,,,,,
94,2,34,6,4,500,3,1.389,4.706,1.626,,4.238,17.745,6.5415,,,,,,,,,,,,,,
95,2,35,6,5,500,3,1.436,4.615,1.524,,4.41,17.465,6.209,,,,,,,,,,,,,,
96,2,36,100,,,,6.69,1.07,18.961,,20.373,4.1215,80.198,,,,,,,,,,,,,,
97,2,37,6,6,500,3,1.398,5.644,2.149,,4.324,21.391,8.886,,,,,,,,,,,,,,
98,2,38,7,1,500,3.016666667,1.407,1.359,0.672,,4.3205,5.387,2.6915,,,,,,,,,,,,,,
99,2,39,7,2,500,3,1.405,1.423,0.732,,4.388,5.679,3.012,,,,,,,,,,,,,,
100,2,40,7,3,500,3,1.394,1.319,0.72,,4.317,5.043,2.915,,,,,,,,,,,,,,
101,2,41,7,4,500,3,1.389,1.322,0.716,,4.3175,4.943,2.8465,,,,,,,,,,,,,,
102,2,42,7,5,500,3,1.477,1.316,0.735,,4.531,4.9835,2.928,,,,,,,,,,,,,,
103,2,43,7,6,500,3,1.396,1.432,0.723,,4.3395,5.447,2.8285,,,,,,,,,,,,,,
104,2,44,100,,,,6.669,1.076,19.019,,20.263,4.1305,80.1715,,,,,,,,,,,,,,
