DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               Amb_P                     CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2015-06-22                09:58:56.890              172.41593623              4137.982469               173.41593623              1434981536.890            4                         963                       0.0000000000E+00          1.4000430220E+02          4.4998069763E+01          5.7687500000E+01          4.5112632751E+01          4.5004753113E+01          4.7000000000E+01          0.0000000000E+00          5.9485006290E+04          0.0000000000E+00          3.0555219628E-01          3.0024832992E-01          3.0081545606E-01          3.0370151543E-01          3.2142110127E-01          3.1578015180E-01          3.1637874601E-01          3.1940362567E-01          5.0766137198E+02          5.3371279090E+02          1.7486374544E+00          1.8139949903E+00          2.8406701548E+00          1.4970612482E+01          0.0000000000E+00          6.5250859521E-01          6.8611611769E+01          3.3114667291E+00          1.5858150236E+02          3.8280143922E+02          1.4501409096E+01          
2015-06-22                09:58:57.671              172.41594527              4137.982686               173.41594527              1434981537.671            4                         963                       0.0000000000E+00          1.4000430220E+02          4.4998069763E+01          5.7687500000E+01          4.5112632751E+01          4.5004753113E+01          4.7000000000E+01          0.0000000000E+00          5.9485006290E+04          0.0000000000E+00          3.0556424560E-01          3.0031991681E-01          3.0083688518E-01          3.0370337325E-01          3.2145888842E-01          3.1585776653E-01          3.1640297718E-01          3.1940592721E-01          5.0808664542E+02          5.3420159435E+02          1.7486542085E+00          1.8141151014E+00          2.8449867905E+00          1.5055582938E+01          0.0000000000E+00          6.5250859521E-01          6.8611611769E+01          3.3114667291E+00          1.5858150236E+02          3.8280143922E+02          1.4501409096E+01          
2015-06-22                09:58:58.312              172.41595269              4137.982864               173.41595269              1434981538.312            4                         963                       0.0000000000E+00          1.4003631278E+02          4.4998069763E+01          5.7687500000E+01          4.5112632751E+01          4.5004753113E+01          2.0000000000E+00          0.0000000000E+00          5.9544952938E+04          0.0000000000E+00          3.0351715449E-01          3.0031567248E-01          3.0084555312E-01          3.0370101614E-01          3.1932555589E-01          3.1585600601E-01          3.1641390029E-01          3.1940382787E-01          5.0843568068E+02          5.3460283473E+02          1.7486679972E+00          1.8142137465E+00          2.8485303065E+00          1.5125295731E+01          0.0000000000E+00          6.5250859521E-01          6.8611611769E+01          3.3114667291E+00          1.6017811894E+02          3.8280143922E+02          1.5105582299E+01          
2015-06-22                09:58:59.062              172.41596137              4137.983073               173.41596137              1434981539.062            4                         963                       0.0000000000E+00          1.4000281493E+02          4.4998069763E+01          5.7687500000E+01          4.5112632751E+01          4.5004753113E+01          4.6000000000E+01          0.0000000000E+00          5.9538391927E+04          0.0000000000E+00          3.0110422333E-01          3.0033589173E-01          3.0084268483E-01          3.0369414632E-01          3.1677410572E-01          3.1587954703E-01          3.1641230429E-01          3.1939687093E-01          5.0884406238E+02          5.3501105033E+02          1.7486841238E+00          1.8141783092E+00          2.8463385283E+00          1.5176883380E+01          0.0000000000E+00          6.5250859521E-01          6.9020319546E+01          3.3114667291E+00          1.6017811894E+02          3.8280143922E+02          1.5105582299E+01          
2015-06-22                09:59:00.197              172.41597450              4137.983388               173.41597450              1434981540.197            4                         963                       0.0000000000E+00          1.3998055229E+02          4.4998124148E+01          5.7687500000E+01          4.5112306442E+01          4.5004753113E+01          4.7000000000E+01          0.0000000000E+00          5.9507676207E+04          0.0000000000E+00          2.9748069784E-01          2.9992626832E-01          3.0078771420E-01          3.0367745938E-01          3.1294226164E-01          3.1544924166E-01          3.1635558654E-01          3.1937960490E-01          5.1271694848E+02          5.3905001407E+02          1.7487056719E+00          1.8141194531E+00          2.8429263765E+00          1.5255043580E+01          0.0000000000E+00          6.3633804310E-01          6.9020319546E+01          3.3101888845E+00          1.6017811894E+02          3.8280143922E+02          1.5105582299E+01          
2015-06-22                09:59:00.983              172.41598361              4137.983607               173.41598361              1434981540.984            4                         963                       0.0000000000E+00          1.3998055229E+02          4.4998124148E+01          5.7687500000E+01          4.5112306442E+01          4.5004753113E+01          4.7000000000E+01          0.0000000000E+00          5.9507676207E+04          0.0000000000E+00          2.9749366619E-01          2.9970247892E-01          3.0074437146E-01          3.0365681181E-01          3.1294250892E-01          3.1521420177E-01          3.1631067762E-01          3.1935808337E-01          5.1540238286E+02          5.4185031613E+02          1.7487205667E+00          1.8140786052E+00          2.8405607447E+00          1.5309271266E+01          0.0000000000E+00          6.3633804310E-01          6.9020319546E+01          3.3101888845E+00          1.6017811894E+02          3.8280143922E+02          1.5105582299E+01          
2015-06-22                09:59:01.319              172.41598750              4137.983700               173.41598750              1434981541.320            4                         963                       0.0000000000E+00          1.3999531555E+02          4.4998130798E+01          5.7687500000E+01          4.5112266541E+01          4.5004753113E+01          2.5000000000E+01          0.0000000000E+00          5.9493152344E+04          0.0000000000E+00          2.9777820298E-01          2.9950802467E-01          3.0070999745E-01          3.0364125993E-01          3.1323613088E-01          3.1500990335E-01          3.1627501357E-01          3.1934188772E-01          5.1654889679E+02          5.4304579923E+02          1.7487269207E+00          1.8140611630E+00          2.8395508490E+00          1.5332426650E+01          0.0000000000E+00          6.3633804310E-01          6.9020319546E+01          3.3101888845E+00          1.6017811894E+02          3.8282810401E+02          1.5105582299E+01          
2015-06-22                09:59:02.500              172.41600117              4137.984028               173.41600117              1434981542.501            4                         963                       0.0000000000E+00          1.3999806250E+02          4.4998130798E+01          5.7687500000E+01          4.5112266541E+01          4.5004753113E+01          4.7000000000E+01          0.0000000000E+00          5.9494505505E+04          0.0000000000E+00          2.9877833429E-01          2.9937199486E-01          3.0068872117E-01          3.0359210025E-01          3.1426811299E-01          3.1486658438E-01          3.1625272301E-01          3.1929024974E-01          5.2057877158E+02          5.4724745283E+02          1.7490454144E+00          1.8143070789E+00          2.8360015744E+00          1.5413815363E+01          0.0000000000E+00          6.3906285075E-01          6.9020319546E+01          3.3200605729E+00          1.6017811894E+02          3.8282810401E+02          1.5105582299E+01          
2015-06-22                09:59:03.290              172.41601031              4137.984247               173.41601031              1434981543.291            4                         963                       0.0000000000E+00          1.3999806250E+02          4.4998130798E+01          5.7687500000E+01          4.5112266541E+01          4.5004753113E+01          4.7000000000E+01          0.0000000000E+00          5.9494505505E+04          0.0000000000E+00          2.9879137083E-01          2.9923619017E-01          3.0068333927E-01          3.0356358388E-01          3.1426832773E-01          3.1472318058E-01          3.1624685574E-01          3.1926028255E-01          5.2327445260E+02          5.5005774306E+02          1.7492584747E+00          1.8144715855E+00          2.8336277152E+00          1.5468249960E+01          0.0000000000E+00          6.3906285075E-01          6.9020319546E+01          3.3200605729E+00          1.6017811894E+02          3.8282810401E+02          1.5105582299E+01          
2015-06-22                09:59:03.936              172.41601778              4137.984427               173.41601778              1434981543.936            4                         963                       0.0000000000E+00          1.4002810173E+02          4.4998130798E+01          5.7687500000E+01          4.5112266541E+01          4.5004753113E+01          2.0000000000E+00          0.0000000000E+00          5.9534299176E+04          0.0000000000E+00          3.0133771690E-01          2.9920603505E-01          3.0073038954E-01          3.0354481328E-01          3.1693575408E-01          3.1469063562E-01          3.1629597550E-01          3.1924054495E-01          5.2547536262E+02          5.5235204976E+02          1.7494323824E+00          1.8146058465E+00          2.8316897642E+00          1.5512725551E+01          0.0000000000E+00          6.3906285075E-01          6.9020319546E+01          3.3200605729E+00          1.5933137923E+02          3.8282810401E+02          1.5492565017E+01          
2015-06-22                09:59:04.716              172.41602681              4137.984643               173.41602681              1434981544.716            4                         963                       0.0000000000E+00          1.4005859375E+02          4.4998130798E+01          5.7687500000E+01          4.5112266541E+01          4.5004753113E+01          4.6000000000E+01          0.0000000000E+00          5.9584007812E+04          0.0000000000E+00          3.0441733709E-01          2.9938825486E-01          3.0084546695E-01          3.0354712154E-01          3.2016888615E-01          3.1488138003E-01          3.1641654125E-01          3.1924300088E-01          5.2813694024E+02          5.5513904268E+02          1.7496427038E+00          1.8147983073E+00          2.8306103527E+00          1.5628142866E+01          0.0000000000E+00          6.3906285075E-01          7.1639945151E+01          3.3200605729E+00          1.5933137923E+02          3.8282810401E+02          1.5492565017E+01          
2015-06-22                09:59:05.855              172.41603999              4137.984960               173.41603999              1434981545.855            4                         963                       0.0000000000E+00          1.3999723114E+02          4.4998222351E+01          5.7687500000E+01          4.5112327576E+01          4.5004875183E+01          4.7000000000E+01          0.0000000000E+00          5.9582971493E+04          0.0000000000E+00          3.0883347819E-01          2.9968657446E-01          3.0105694089E-01          3.0354421219E-01          3.2480639634E-01          3.1519407582E-01          3.1663791549E-01          3.1923990200E-01          5.2263232880E+02          5.4933985194E+02          1.7499580701E+00          1.8150944616E+00          2.8293101716E+00          1.5796419498E+01          0.0000000000E+00          6.5925651614E-01          7.1639945151E+01          3.3255422109E+00          1.5933137923E+02          3.8282810401E+02          1.5492565017E+01          
2015-06-22                09:59:06.625              172.41604890              4137.985174               173.41604890              1434981546.625            4                         963                       0.0000000000E+00          1.3999723114E+02          4.4998222351E+01          5.7687500000E+01          4.5112327576E+01          4.5004875183E+01          4.7000000000E+01          0.0000000000E+00          5.9582971493E+04          0.0000000000E+00          3.0879181779E-01          2.9995230496E-01          3.0115871559E-01          3.0355131622E-01          3.2475741177E-01          3.1547237978E-01          3.1674475097E-01          3.1924735228E-01          5.1891103043E+02          5.4541956331E+02          1.7501713234E+00          1.8152947243E+00          2.8284312551E+00          1.5910141435E+01          0.0000000000E+00          6.5925651614E-01          7.1639945151E+01          3.3255422109E+00          1.5933137923E+02          3.8282810401E+02          1.5492565017E+01          
2015-06-22                09:59:06.950              172.41605266              4137.985264               173.41605266              1434981546.950            4                         963                       0.0000000000E+00          1.4000723283E+02          4.4998222351E+01          5.7687500000E+01          4.5112327576E+01          4.5004875183E+01          2.5000000000E+01          0.0000000000E+00          5.9587343544E+04          0.0000000000E+00          3.0713350718E-01          3.0013660537E-01          3.0116289244E-01          3.0356079291E-01          3.2301100592E-01          3.1566534177E-01          3.1674838749E-01          3.1925730904E-01          5.1734034873E+02          5.4376492954E+02          1.7502613630E+00          1.8153792809E+00          2.8280602955E+00          1.5958120149E+01          0.0000000000E+00          6.5925651614E-01          7.1639945151E+01          3.3255422109E+00          1.5933137923E+02          3.8316409029E+02          1.5492565017E+01          
2015-06-22                09:59:08.108              172.41606606              4137.985586               173.41606606              1434981548.108            4                         963                       0.0000000000E+00          1.3998164113E+02          4.4998222351E+01          5.7687500000E+01          4.5112327576E+01          4.5004875183E+01          4.7000000000E+01          0.0000000000E+00          5.9561304612E+04          0.0000000000E+00          3.0122498399E-01          3.0011121879E-01          3.0108943764E-01          3.0355232639E-01          3.1678879239E-01          3.1563807783E-01          3.1667024913E-01          3.1924836877E-01          5.1174406437E+02          5.3786970752E+02          1.7540897499E+00          1.8193185603E+00          2.8267385932E+00          1.6129075500E+01          0.0000000000E+00          6.4456388281E-01          7.1639945151E+01          3.3354394478E+00          1.5933137923E+02          3.8316409029E+02          1.5492565017E+01          
