DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   species                   solenoid_valves           CO2_dry                   CH4_dry                   CH4_dry                   CH4_dry                   N2O_dry                   NH3                       H2O                       H2O                       H2O                       H2O                       H2O                       H2O                       ChemDetect                
2015-06-08                18:53:43.621              158.78731044              3810.895451               159.78731044              1433804023.622            4                         963                       1.3998991478E+02          4.5948051453E+01          6.4625000000E+01          2.0000000000E+00          0.0000000000E+00          4.8584563895E+02          2.0189813137E+00          2.0189813137E+00          2.0189813137E+00          2.7708091767E-01          1.2499650619E+01          2.8017935999E+00          2.8017935999E+00          2.8017935999E+00          2.8017935999E+00          2.8017935999E+00          2.8017935999E+00          1.0000000000E+00          
2015-06-08                18:53:44.388              158.78731931              3810.895663               159.78731931              1433804024.388            4                         963                       1.3998198748E+02          4.5948051453E+01          6.4625000000E+01          4.6000000000E+01          0.0000000000E+00          4.8280966138E+02          2.0067014627E+00          2.0067014627E+00          2.0067014627E+00          2.7680873972E-01          1.2663533093E+01          2.7982874758E+00          2.7982874758E+00          2.7982874758E+00          2.7982874758E+00          2.7982874758E+00          2.7982874758E+00          1.0000000000E+00          
2015-06-08                18:53:45.497              158.78733215              3810.895972               159.78733215              1433804025.498            4                         963                       1.3999621649E+02          4.5948773677E+01          6.4616071429E+01          4.7000000000E+01          0.0000000000E+00          4.8275755108E+02          1.9889019983E+00          1.9889019983E+00          1.9889019983E+00          2.7645128942E-01          1.2901128492E+01          2.7930864540E+00          2.7930864540E+00          2.7930864540E+00          2.7930864540E+00          2.7930864540E+00          2.7930864540E+00          0.0000000000E+00          
2015-06-08                18:53:46.262              158.78734100              3810.896184               159.78734100              1433804026.262            4                         963                       1.3999621649E+02          4.5948773677E+01          6.4616071429E+01          4.7000000000E+01          0.0000000000E+00          4.8272169701E+02          1.9766522610E+00          1.9766522610E+00          1.9766522610E+00          2.7641124352E-01          1.3064665107E+01          2.7895074095E+00          2.7895074095E+00          2.7895074095E+00          2.7895074095E+00          2.7895074095E+00          2.7895074095E+00          0.0000000000E+00          
2015-06-08                18:53:46.582              158.78734470              3810.896273               159.78734470              1433804026.582            4                         963                       1.3997967529E+02          4.5948875427E+01          6.4562500000E+01          2.5000000000E+01          0.0000000000E+00          4.8270668557E+02          1.9715218040E+00          1.9715218040E+00          1.9715218040E+00          2.7767471282E-01          1.3133177564E+01          2.7880085164E+00          2.7880085164E+00          2.7880085164E+00          2.7880085164E+00          2.7880085164E+00          2.7880085164E+00          0.0000000000E+00          
2015-06-08                18:53:47.732              158.78735801              3810.896592               159.78735801              1433804027.732            4                         963                       1.4000553901E+02          4.5948875427E+01          6.4562500000E+01          4.7000000000E+01          0.0000000000E+00          4.8265338669E+02          1.9656007697E+00          1.9656007697E+00          1.9656007697E+00          2.8221534957E-01          1.3379406264E+01          2.7826227692E+00          2.7826227692E+00          2.7826227692E+00          2.7826227692E+00          2.7826227692E+00          2.7826227692E+00          0.0000000000E+00          
2015-06-08                18:53:48.516              158.78736708              3810.896810               159.78736708              1433804028.516            4                         963                       1.4000553901E+02          4.5948875427E+01          6.4562500000E+01          4.7000000000E+01          0.0000000000E+00          4.8261705648E+02          1.9615647251E+00          1.9615647251E+00          1.9615647251E+00          2.8217433349E-01          1.3547232162E+01          2.7789518983E+00          2.7789518983E+00          2.7789518983E+00          2.7789518983E+00          2.7789518983E+00          2.7789518983E+00          0.0000000000E+00          
2015-06-08                18:53:49.164              158.78737459              3810.896990               159.78737459              1433804029.165            4                         963                       1.3999589288E+02          4.5949062713E+01          6.4576198630E+01          2.0000000000E+00          0.0000000000E+00          4.8258698597E+02          1.9582240008E+00          1.9582240008E+00          1.9582240008E+00          2.8036729963E-01          1.3686138072E+01          2.7759136218E+00          2.7759136218E+00          2.7759136218E+00          2.7759136218E+00          2.7759136218E+00          2.7759136218E+00          0.0000000000E+00          
2015-06-08                18:53:49.946              158.78738363              3810.897207               159.78738363              1433804029.946            4                         963                       1.3998600769E+02          4.5949729919E+01          6.4625000000E+01          4.6000000000E+01          0.0000000000E+00          4.8257345557E+02          1.9542708329E+00          1.9542708329E+00          1.9542708329E+00          2.7822603368E-01          1.3662738362E+01          2.7748618469E+00          2.7748618469E+00          2.7748618469E+00          2.7748618469E+00          2.7748618469E+00          2.7748618469E+00          0.0000000000E+00          
2015-06-08                18:53:51.082              158.78739679              3810.897523               159.78739679              1433804031.083            4                         963                       1.3999888334E+02          4.5949729919E+01          6.4625000000E+01          4.7000000000E+01          0.0000000000E+00          4.8206916182E+02          1.9485166715E+00          1.9485166715E+00          1.9485166715E+00          2.7510475783E-01          1.3628659570E+01          2.7733442679E+00          2.7733442679E+00          2.7733442679E+00          2.7733442679E+00          2.7733442679E+00          2.7733442679E+00          0.0000000000E+00          
