"Date","DayCount","TopoLocation","Drought","N","meanSoilMoisture","sdSoilMoisture","seSoilMoisture","ciSoilMoisture","DroughtTimePds"
2014-11-14,1,"1","Pre-drought",5,0.39108,0.0575471864357125,0.0257358841568214,0.0714542695951443,"Pre-Drought"
2014-11-14,1,"2","Pre-drought",5,0.380213333333333,0.0517228168004971,0.0231311468707359,0.064222359506866,"Pre-Drought"
2014-11-14,1,"3","Pre-drought",5,0.37436,0.0851131873840163,0.0380637745544676,0.105681980547104,"Pre-Drought"
2014-11-14,1,"4","Pre-drought",5,0.433106666666667,0.0265499361790404,0.0118734924189231,0.0329660999081221,"Pre-Drought"
2014-11-14,1,"5","Pre-drought",5,0.4012,0.0375947986946185,0.0168129050963174,0.0466801080588256,"Pre-Drought"
2014-11-14,1,"6","Pre-drought",5,0.43736,0.0305859299533478,0.0136784437061465,0.0379774480746541,"Pre-Drought"
2014-11-14,1,"7","Pre-drought",5,0.511333333333333,0.0187654528914764,0.00839216565878223,0.0233003872653349,"Pre-Drought"
2014-11-15,2,"1","Pre-drought",5,0.392857142857143,0.0537279380446581,0.0240278643517505,0.0667120463677743,"Pre-Drought"
2014-11-15,2,"2","Pre-drought",5,0.383714285714286,0.052029402009531,0.0232682559443951,0.0646030353233053,"Pre-Drought"
2014-11-15,2,"3","Pre-drought",5,0.3825,0.0797104773795868,0.0356476091879431,0.0989736300418684,"Pre-Drought"
2014-11-15,2,"4","Pre-drought",5,0.437942857142857,0.0299480587766518,0.0133931790437505,0.0371854263990588,"Pre-Drought"
2014-11-15,2,"5","Pre-drought",5,0.407871428571429,0.0340860780126684,0.0152437575045375,0.0423234559082952,"Pre-Drought"
2014-11-15,2,"6","Pre-drought",5,0.4419,0.0321977547068622,0.0143992736494815,0.0399787928425066,"Pre-Drought"
2014-11-15,2,"7","Pre-drought",5,0.5135,0.0141271557863658,0.00631785613340868,0.0175411807369464,"Pre-Drought"
2014-11-16,3,"1","Pre-drought",5,0.436741666666667,0.0299868084423061,0.0134105084210522,0.0372335404638441,"Pre-Drought"
