"Date","DayCount","TopoLocation","Drought","N","meanSoilMoisture","sdSoilMoisture","seSoilMoisture","ciSoilMoisture"
"1/1/15 23:00",49,"1","Pre-drought",5,0.4022583336,0.0487929066157703,0.0218208512025323,0.0605843955125202
"1/1/15 23:00",49,"2","Pre-drought",5,0.3951583334,0.0638608878370922,0.0285594572614455,0.079293765320646
"1/1/15 23:00",49,"3","Pre-drought",5,0.427875,0.0497926167970714,0.0222679351871699,0.0618256996532796
"1/1/15 23:00",49,"4","Pre-drought",5,0.4622333332,0.0548295226636998,0.0245205079699796,0.0680798443302134
"1/1/15 23:00",49,"5","Pre-drought",5,0.4135416666,0.0423671843379074,0.0189471808389651,0.0526058074976419
"1/1/15 23:00",49,"6","Pre-drought",5,0.4623833334,0.0366392343139117,0.0163855637138899,0.0454936181693361
"1/1/15 23:00",49,"7","Pre-drought",5,0.51805,0.00856092355601568,0.00382856140428606,0.0106297905708792
"1/1/16 0:00",NA,"1","Post-drought",5,0.4091249998,0.089435862179157,0.0399969334917795,0.111049290216173
"1/1/16 0:00",NA,"2","Post-drought",5,0.40215,0.0519460072450365,0.0232309606719197,0.0644994870465938
"1/1/16 0:00",NA,"3","Post-drought",5,0.3892166666,0.0546809033663465,0.0244540433996496,0.0678953090992514
"1/1/16 0:00",NA,"4","Post-drought",5,0.4369166666,0.0757025025240891,0.0338551883421425,0.0939970719580911
"1/1/16 0:00",NA,"5","Post-drought",5,0.4085249998,0.0671786048655829,0.0300431854226083,0.0834132551111505
"1/1/16 0:00",NA,"6","Post-drought",5,0.4235749998,0.0515561435980637,0.0230566083486022,0.0640154073919392
"1/1/16 0:00",NA,"7","Post-drought",3,0.509383772,0.0159733812202627,0.00922223594738718,0.0396800786734191
"1/10/16 0:00",NA,"1","Post-drought",5,0.3814666664,0.098073807457268,0.0438599400573354,0.121774715886458
"1/10/16 0:00",NA,"2","Post-drought",5,0.3786333334,0.0544148430857539,0.024335057624946,0.0675649516274877
"1/10/16 0:00",NA,"3","Post-drought",5,0.358125,0.0581487782907035,0.0260049242133154,0.0722012445430992
"1/10/16 0:00",NA,"4","Post-drought",5,0.41695,0.0801803545176522,0.0358577446323005,0.0995570595677833
"1/10/16 0:00",NA,"5","Post-drought",5,0.3769833332,0.0710533936766824,0.0317760436586231,0.0882244408785355
"1/10/16 0:00",NA,"6","Post-drought",5,0.3983249998,0.0574279394960908,0.0256825553042008,0.07130620496332
"1/10/16 0:00",NA,"7","Post-drought",4,0.50305208325,0.0149306411503231,0.00746532057516157,0.0237579818821814
"1/11/16 0:00",NA,"1","Post-drought",5,0.3820499998,0.0989635763021482,0.0442578567816181,0.122879509827869
"1/11/16 0:00",NA,"2","Post-drought",5,0.3774583334,0.0566493847581085,0.0253343750405342,0.0703395015745364
"1/11/16 0:00",NA,"3","Post-drought",5,0.3612416668,0.0624588225065011,0.0279324345838261,0.0775528712765214
"1/11/16 0:00",NA,"4","Post-drought",5,0.4141833332,0.0829880796684329,0.0371133974921568,0.103043310804359
"1/11/16 0:00",NA,"5","Post-drought",5,0.3813916666,0.0715208643758744,0.0319851029107997,0.0888048824159374
"1/11/16 0:00",NA,"6","Post-drought",5,0.4006500002,0.060949743151929,0.0272575537797731,0.0756791017715166
"1/11/16 0:00",NA,"7","Post-drought",4,0.50222253775,0.0172494285506633,0.00862471427533164,0.0274476900796568
"1/12/16 0:00",NA,"1","Post-drought",5,0.3784249998,0.0999894023422538,0.0447166201333712,0.124153241090288
"1/12/16 0:00",NA,"2","Post-drought",5,0.3738833334,0.0564055367261027,0.0252253228853853,0.070036724252162
"1/12/16 0:00",NA,"3","Post-drought",5,0.3567500002,0.0619414273314808,0.0277010484273109,0.0769104403148543
"1/12/16 0:00",NA,"4","Post-drought",5,0.4114166668,0.0848139558997286,0.0379299541664925,0.105310435585935
"1/12/16 0:00",NA,"5","Post-drought",5,0.3773416668,0.0732253077597569,0.0327473531648318,0.0909212284026808
"1/12/16 0:00",NA,"6","Post-drought",5,0.3983749998,0.0626876973773895,0.0280347905377556,0.0778370569637971
"1/12/16 0:00",NA,"7","Post-drought",3,0.497208333,0.020866764842687,0.012047432299042,0.0518359174679448
"1/13/16 0:00",NA,"1","Post-drought",5,0.3712416668,0.101261536770933,0.0452855359451804,0.125732804611255
"1/13/16 0:00",NA,"2","Post-drought",5,0.3660916668,0.0590759090308111,0.0264195496850975,0.0733524294047187
"1/13/16 0:00",NA,"3","Post-drought",5,0.3479416664,0.062942631172682,0.0281488003969628,0.0781535990793372
"1/13/16 0:00",NA,"4","Post-drought",5,0.4052416666,0.0871842937496007,0.0389900014788834,0.108253598757701
"1/13/16 0:00",NA,"5","Post-drought",5,0.3711583334,0.0752649050472544,0.0336594888011456,0.0934537229254006
"1/13/16 0:00",NA,"6","Post-drought",5,0.3927250002,0.0633197735984121,0.0283174636171892,0.0786218832515615
"1/13/16 0:00",NA,"7","Post-drought",3,0.495430555666667,0.0214688216501581,0.0123950299589028,0.0533315094879997
"1/14/16 0:00",NA,"1","Post-drought",5,0.3590666666,0.107219326813941,0.0479499406515477,0.133130378016514
"1/14/16 0:00",NA,"2","Post-drought",5,0.3566750002,0.0635018414832725,0.0283988868506027,0.0788479503894218
"1/14/16 0:00",NA,"3","Post-drought",5,0.3366166666,0.0672323874900313,0.0300672377434633,0.083480035059657
"1/14/16 0:00",NA,"4","Post-drought",5,0.3968750002,0.0896716424057021,0.0401023776146405,0.111342050034962
