DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   species                   solenoid_valves           CO2_dry                   CH4_dry                   CH4_dry                   CH4_dry                   N2O_dry                   NH3                       H2O                       H2O                       H2O                       H2O                       H2O                       H2O                       ChemDetect                
2015-08-17                00:30:36.525              228.02125608              5472.510146               229.02125608              1439785836.525            4                         963                       1.4002497173E+02          4.5000755310E+01          5.3793583535E+01          4.7000000000E+01          0.0000000000E+00          4.7088378752E+02          1.8666373383E+00          1.8666373383E+00          1.8666373383E+00          3.2682246019E-01          3.1751283146E+00          2.7071620835E+00          2.7071620835E+00          2.7071620835E+00          2.7071620835E+00          2.7071620835E+00          2.7071620835E+00          0.0000000000E+00          
2015-08-17                00:30:37.328              228.02126538              5472.510369               229.02126538              1439785837.329            4                         963                       1.4002497173E+02          4.5000755310E+01          5.3793583535E+01          4.7000000000E+01          0.0000000000E+00          4.7094085361E+02          1.8666447732E+00          1.8666447732E+00          1.8666447732E+00          3.2680581891E-01          3.1188351359E+00          2.7049482200E+00          2.7049482200E+00          2.7049482200E+00          2.7049482200E+00          2.7049482200E+00          2.7049482200E+00          0.0000000000E+00          
2015-08-17                00:30:37.660              228.02126921              5472.510461               229.02126921              1439785837.660            4                         963                       1.4000379719E+02          4.5000755310E+01          5.3771052632E+01          2.5000000000E+01          0.0000000000E+00          4.7096434261E+02          1.8666478661E+00          1.8666478661E+00          1.8666478661E+00          3.2512060093E-01          3.0956394308E+00          2.7040368609E+00          2.7040368609E+00          2.7040368609E+00          2.7040368609E+00          2.7040368609E+00          2.7040368609E+00          0.0000000000E+00          
2015-08-17                00:30:38.826              228.02128272              5472.510785               229.02128272              1439785838.827            4                         963                       1.3998565279E+02          4.5000750877E+01          5.3750000000E+01          4.7000000000E+01          0.0000000000E+00          4.7104716400E+02          1.8668586579E+00          1.8668586579E+00          1.8668586579E+00          3.1917951195E-01          3.0138589956E+00          2.7008240233E+00          2.7008240233E+00          2.7008240233E+00          2.7008240233E+00          2.7008240233E+00          2.7008240233E+00          0.0000000000E+00          
2015-08-17                00:30:39.621              228.02129192              5472.511006               229.02129192              1439785839.622            4                         963                       1.3998565279E+02          4.5000750877E+01          5.3750000000E+01          4.7000000000E+01          0.0000000000E+00          4.7110359107E+02          1.8670021799E+00          1.8670021799E+00          1.8670021799E+00          3.1916336181E-01          2.9581960956E+00          2.6986356156E+00          2.6986356156E+00          2.6986356156E+00          2.6986356156E+00          2.6986356156E+00          2.6986356156E+00          0.0000000000E+00          
2015-08-17                00:30:40.253              228.02129924              5472.511182               229.02129924              1439785840.254            4                         963                       1.4001308284E+02          4.5000633240E+01          5.3802654110E+01          2.0000000000E+00          0.0000000000E+00          4.7114844657E+02          1.8671162773E+00          1.8671162773E+00          1.8671162773E+00          3.1893811538E-01          2.9139432737E+00          2.6968960667E+00          2.6968960667E+00          2.6968960667E+00          2.6968960667E+00          2.6968960667E+00          2.6968960667E+00          0.0000000000E+00          
2015-08-17                00:30:41.006              228.02130795              5472.511391               229.02130795              1439785841.007            4                         963                       1.4000264120E+02          4.5000633240E+01          5.3776692708E+01          4.6000000000E+01          0.0000000000E+00          4.7122233765E+02          1.8673110802E+00          1.8673110802E+00          1.8673110802E+00          3.1869016696E-01          2.8896268606E+00          2.6972302543E+00          2.6972302543E+00          2.6972302543E+00          2.6972302543E+00          2.6972302543E+00          2.6972302543E+00          0.0000000000E+00          
2015-08-17                00:30:42.144              228.02132112              5472.511707               229.02132112              1439785842.145            4                         963                       1.3999926521E+02          4.5000633240E+01          5.3771791768E+01          4.7000000000E+01          0.0000000000E+00          4.7130682796E+02          1.8676055292E+00          1.8676055292E+00          1.8676055292E+00          3.1831521033E-01          2.8528770288E+00          2.6977360754E+00          2.6977360754E+00          2.6977360754E+00          2.6977360754E+00          2.6977360754E+00          2.6977360754E+00          0.0000000000E+00          
2015-08-17                00:30:42.938              228.02133031              5472.511927               229.02133031              1439785842.939            4                         963                       1.3999926521E+02          4.5000633240E+01          5.3771791768E+01          4.7000000000E+01          0.0000000000E+00          4.7136577974E+02          1.8678109684E+00          1.8678109684E+00          1.8678109684E+00          3.1832045243E-01          2.8272393341E+00          2.6980890018E+00          2.6980890018E+00          2.6980890018E+00          2.6980890018E+00          2.6980890018E+00          2.6980890018E+00          0.0000000000E+00          
2015-08-17                00:30:43.269              228.02133414              5472.512019               229.02133414              1439785843.270            4                         963                       1.3998483276E+02          4.5000633240E+01          5.3750000000E+01          2.5000000000E+01          0.0000000000E+00          4.7139036377E+02          1.8678965479E+00          1.8678965479E+00          1.8678965479E+00          3.2184212966E-01          2.8165941098E+00          2.6982361292E+00          2.6982361292E+00          2.6982361292E+00          2.6982361292E+00          2.6982361292E+00          2.6982361292E+00          0.0000000000E+00          
2015-08-17                00:30:44.404              228.02134728              5472.512335               229.02134728              1439785844.405            4                         963                       1.3999582293E+02          4.5000628141E+01          5.3784654964E+01          4.7000000000E+01          0.0000000000E+00          4.7147463930E+02          1.8677113068E+00          1.8677113068E+00          1.8677113068E+00          3.3391809201E-01          2.7800911418E+00          2.6987406374E+00          2.6987406374E+00          2.6987406374E+00          2.6987406374E+00          2.6987406374E+00          2.6987406374E+00          0.0000000000E+00          
2015-08-17                00:30:45.170              228.02135613              5472.512547               229.02135613              1439785845.170            4                         963                       1.3999582293E+02          4.5000628141E+01          5.3784654964E+01          4.7000000000E+01          0.0000000000E+00          4.7153142378E+02          1.8675865991E+00          1.8675865991E+00          1.8675865991E+00          3.3392322451E-01          2.7553895253E+00          2.6990806899E+00          2.6990806899E+00          2.6990806899E+00          2.6990806899E+00          2.6990806899E+00          2.6990806899E+00          0.0000000000E+00          
2015-08-17                00:30:45.801              228.02136344              5472.512723               229.02136344              1439785845.801            4                         963                       1.4000668622E+02          4.5000602722E+01          5.3812500000E+01          2.0000000000E+00          0.0000000000E+00          4.7157826259E+02          1.8674837322E+00          1.8674837322E+00          1.8674837322E+00          3.3407288902E-01          2.7350164852E+00          2.6993611819E+00          2.6993611819E+00          2.6993611819E+00          2.6993611819E+00          2.6993611819E+00          2.6993611819E+00          0.0000000000E+00          
2015-08-17                00:30:46.558              228.02137220              5472.512933               229.02137220              1439785846.558            4                         963                       1.4001302958E+02          4.5000602722E+01          5.3812500000E+01          4.6000000000E+01          0.0000000000E+00          4.7163992043E+02          1.8673760474E+00          1.8673760474E+00          1.8673760474E+00          3.3425906588E-01          2.7013547734E+00          2.7003406541E+00          2.7003406541E+00          2.7003406541E+00          2.7003406541E+00          2.7003406541E+00          2.7003406541E+00          0.0000000000E+00          
2015-08-17                00:30:47.673              228.02138510              5472.513243               229.02138510              1439785847.673            4                         963                       1.3997850561E+02          4.5000602722E+01          5.3812500000E+01          4.7000000000E+01          0.0000000000E+00          4.7174124801E+02          1.8672174171E+00          1.8672174171E+00          1.8672174171E+00          3.3453339225E-01          2.6517740641E+00          2.7017831302E+00          2.7017831302E+00          2.7017831302E+00          2.7017831302E+00          2.7017831302E+00          2.7017831302E+00          0.0000000000E+00          
