Sample#,Location,Replicate,Depth,Sampling Period,SamplingMonth,Tin Weight (g),Tin + wet soil (g),Tin + dry soil wt (g),Soil for Fe in 0.5 M HCl (g),Soil for P in 0.5 M NaHCO3 (g),Soil for pH (g),Time H2O added,Time pH read,pH,NaOH wt reagent,NaHCO3 wt reagent,HCl wt reagent,2M KCl wt reagent N concentrations day 0,2M KCl wt reagent N transformations day 7,Soil wt in 2M KCl cup (g) for N concetrations day 0,Soil for N transformations wt day 0,Soil for N transformations wt day 7,Fe(II) concentration (mg-Fe/g),Fe(II+III) concentration (mg-Fe/g),FeIII_mg_Fe_per_dry_weight_soil_g,Bicarb-Pi,Bicarb-Pt,Bicarb-Po,NaOH-Pi,NaOH-Pt,NaOH-Po,Total P
11,Slope,1,45-60,PostDrought,15-Nov,0.99,11,7,5.89,1.52,4.04,10:24,10:34,5.17,45.55,not recorded,30.02,81.22,81.21,30.48,29.97,29.18,0.007853917,0.070035164,0.062181246,NA,NA,NA,NA,NA,NA,NA
12,Slope,1,60-75,PostDrought,15-Nov,0.99,11.42,8.11,5.31,1.56,4.09,10:25,10:35,5,44.6,not recorded,30.02,81.25,81.25,30.14,30.49,28.66,0.00838755,0.069534279,0.061146729,NA,NA,NA,NA,NA,NA,NA
13,Slope,1,75-90,PostDrought,15-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.99,81.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Slope,1,90-105,PostDrought,15-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.02,81.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Valley,1,0-15,PostDrought,15-Nov,0.99,10.94,6.12,5.83,1.59,3.91,10:27,10:37,4.76,44.89,not recorded,30.1,81.19,81.22,29.93,29.81,28.89,1.128624666,1.162999682,0.034375016,NA,NA,NA,NA,NA,NA,NA
16,Valley,1,15-30,PostDrought,15-Nov,1,11.02,6.36,5.52,1.48,3.99,10:28,10:38,5.07,44.77,45.37,29.99,81.2,81.23,31.4,29.42,26.53,3.119792044,2.546295976,-0.573496068,NA,NA,NA,NA,NA,NA,NA
17,Valley,1,30-45,PostDrought,15-Nov,0.98,10.92,6.26,6.26,1.49,4.02,10:30,10:40,5.07,44.73,44.74,30.03,81.23,81.2,29.8,30.45,29.49,3.060321734,2.943789958,-0.116531776,NA,NA,NA,NA,NA,NA,NA
18,Valley,1,45-60,PostDrought,15-Nov,1,11.95,7.13,5.16,1.57,4.17,10:37,10:47,5.53,44.93,44.8,30.04,81.18,81.19,29.62,30.44,28.65,1.529397358,1.374014576,-0.155382782,NA,NA,NA,NA,NA,NA,NA
19,Valley,1,60-75,PostDrought,15-Nov,1,10.92,7.4,5.79,1.58,3.9,10:38,10:48,5.57,45.45,not recorded,29.96,81.2,81.22,31.2,29.65,28.94,0.006496714,0.062547632,0.056050918,NA,NA,NA,NA,NA,NA,NA
20,Valley,1,75-90,PostDrought,15-Nov,0.98,11.09,7.34,5.92,1.56,4.09,10:41,10:51,5.56,44.76,not recorded,29.99,81.18,81.21,29.96,30.09,29.55,0.005104403,0.044851622,0.039747219,NA,NA,NA,NA,NA,NA,NA
21,Valley,1,90-105,PostDrought,15-Nov,0.99,11.07,7.3,5.98,1.57,4.11,10:44,10:54,5.41,45.15,45.29,30,81.23,81.2,30.07,29.93,29.04,0.004843982,0.043449971,0.03860599,NA,NA,NA,NA,NA,NA,NA
22,Ridge,2,0-15,PostDrought,15-Nov,1,10.93,6.71,5.79,1.49,4.11,10:45,10:55,4.52,44.86,44.68,30.06,81.18,81.2,29.92,29.93,29.13,0.014396882,0.203907783,0.189510901,NA,NA,NA,NA,NA,NA,NA
23,Ridge,2,15-30,PostDrought,15-Nov,0.99,10.95,7.34,5.89,1.55,3.9,10:49,10:59,4.57,45.28,45.57,30.03,81.25,81.23,29.92,30.02,30.42,0.008563273,0.089761166,0.081197893,NA,NA,NA,NA,NA,NA,NA
24,Ridge,2,30-45,PostDrought,15-Nov,1,11.07,7.62,5.87,1.52,3.98,10:51,11:01,4.66,45.41,45.03,29.99,81.17,81.21,29.91,30.08,29.41,0.00628889,0.038969774,0.032680883,NA,NA,NA,NA,NA,NA,NA
25,Ridge,2,45-60,PostDrought,15-Nov,0.96,11.12,7.67,5.8,1.57,4.13,10:55,11:05,4.57,45.19,45.25,30.02,81.25,81.24,29.94,30.09,29.54,0.005420297,0.033309766,0.027889468,NA,NA,NA,NA,NA,NA,NA
26,Ridge,2,60-75,PostDrought,15-Nov,0.99,11.09,7.59,5.67,1.56,3.98,10:56,11:06,4.27,45.31,44.85,29.98,81.21,81.21,29.91,30.1,29.41,0.005130586,0.026867096,0.02173651,NA,NA,NA,NA,NA,NA,NA
27,Ridge,2,75-90,PostDrought,15-Nov,0.98,11.09,7.72,5.49,1.45,3.97,10:58,11:08,4.27,45.1,45.32,30.09,81.17,81.23,30.05,30.03,29.16,0.005433346,0.037974724,0.032541378,NA,NA,NA,NA,NA,NA,NA
28,Ridge,2,90-105,PostDrought,15-Nov,0.99,11.04,7.74,5.82,1.5,4.04,11:00,11:10,4.29,44.93,45.13,30.02,81.2,81.2,29.92,30.06,28.99,0.004638866,0.02434519,0.019706325,NA,NA,NA,NA,NA,NA,NA
29,Slope,2,0-15,PostDrought,15-Nov,0.99,10.96,6.95,5.73,1.48,3.94,11:02,11:12,4.36,45.1,45,30.01,81.24,81.26,29.91,29.9,29.15,0.010155425,0.120153346,0.109997921,NA,NA,NA,NA,NA,NA,NA
30,Slope,2,15-30,PostDrought,15-Nov,0.98,11.37,7.11,5.44,1.52,4.06,11:03,11:13,4.35,45.27,44.92,30.06,81.22,81.22,30.5,29.67,27.88,0.01056519,0.140247938,0.129682747,NA,NA,NA,NA,NA,NA,NA
31,Slope,2,30-45,PostDrought,15-Nov,1,10.98,7.33,5.87,1.45,4,11:05,11:15,4.63,45.14,45.09,29.98,81.19,81.21,29.92,30.21,29.42,0.006753634,0.04580528,0.039051646,NA,NA,NA,NA,NA,NA,NA
32,Slope,2,45-60,PostDrought,15-Nov,1,11.04,7.37,5.66,1.46,4.08,11:07,11:17,4.6,45.2,45.11,30.01,81.24,81.25,31.15,30.26,28.95,0.008710555,0.042852966,0.034142411,NA,NA,NA,NA,NA,NA,NA
33,Slope,2,60-75,PostDrought,15-Nov,0.98,11.1,7.43,5.74,1.55,3.95,11:09,11:19,4.55,44.85,44.98,30.1,8.25,81.21,30.51,29.94,29.07,0.005196148,0.029606181,0.024410033,NA,NA,NA,NA,NA,NA,NA
34,Slope,2,75-90,PostDrought,15-Nov,0.98,11.15,7,5.14,1.56,4.09,11:11,11:21,4.51,44.72,44.93,30.09,81.25,81.22,30,29.92,27.78,0.005671761,0.037903304,0.032231543,NA,NA,NA,NA,NA,NA,NA
35,Slope,2,90-105,PostDrought,15-Nov,0.99,10.99,6.93,5.73,1.51,3.94,11:14,11:24,4.53,44.43,44.97,30.05,81.25,81.25,29.96,30.08,29.49,0.005070088,0.040062668,0.034992579,NA,NA,NA,NA,NA,NA,NA
36,Valley,2,0-15,PostDrought,15-Nov,1,11.98,6.78,5.3,1.57,4.07,11:17,11:27,4.62,44.93,45.01,30.02,81.24,81.25,29.54,29.74,27.39,2.525930155,2.069753555,-0.4561766,NA,NA,NA,NA,NA,NA,NA
37,Valley,2,15-30,PostDrought,15-Nov,0.99,11.18,7.2,5.81,1.48,3.96,11:19,11:29,4.41,45.18,45.15,30.08,81.25,81.23,30.17,30.13,29.22,2.430965241,2.437868682,0.006903441,NA,NA,NA,NA,NA,NA,NA
38,Valley,2,30-45,PostDrought,15-Nov,0.99,10.96,7.5,5.84,1.55,4.07,1:36,1:47,5.82,44.62,45.74,30.03,81.2,81.22,30.14,29.86,28.74,0.251650544,0.50014704,0.248496496,NA,NA,NA,NA,NA,NA,NA
39,Valley,2,45-60,PostDrought,15-Nov,0.99,11.18,7.66,5.46,1.5,4.16,1:37,1:48,5.99,44.83,44.62,30.04,81.24,81.22,31,30.32,29.55,0.003790827,0.038775609,0.034984781,NA,NA,NA,NA,NA,NA,NA
40,Valley,2,60-75,PostDrought,15-Nov,1,11.1,7.54,6.02,1.58,4,1:39,1:49,5.93,44.75,44.91,30.02,81.2,81.19,29.9,30.1,29.1,0.003101426,0.029751707,0.026650281,NA,NA,NA,NA,NA,NA,NA
41,Valley,2,75-90,PostDrought,15-Nov,0.97,11.53,7.76,5.48,1.79,4.12,1:40,1:50,5.72,45.04,45.01,30.01,81.2,81.22,30,30.42,29.16,0.00508667,0.063956573,0.058869903,NA,NA,NA,NA,NA,NA,NA
42,Valley,2,90-105,PostDrought,15-Nov,0.98,11.05,7.57,6.02,1.54,4.08,1:41,1:51,5.7,45.08,44.76,30.04,81.17,81.17,29.97,30.22,29.56,0.006400526,0.119951439,0.113550913,NA,NA,NA,NA,NA,NA,NA
43,Ridge,3,0-15,PostDrought,15-Nov,0.97,11.24,7.03,5.61,1.67,4.27,1:43,1:53,4.62,44.99,44.35,30.03,81.2,81.24,30.06,29.59,28.74,0.019072296,0.220517067,0.201444771,NA,NA,NA,NA,NA,NA,NA
44,Ridge,3,15-30,PostDrought,15-Nov,1,11.94,7.29,5.74,1.55,4,1:46,1:56,4.61,44.89,45.14,30.04,81.19,81.2,30.71,30.01,28.58,0.01360639,0.181636723,0.168030333,NA,NA,NA,NA,NA,NA,NA
45,Ridge,3,30-45,PostDrought,15-Nov,0.98,11.45,7.65,5.4,1.62,4.03,1:52,2:02,4.55,44.54,45.52,30.09,81.25,81.21,30.79,29.82,28.31,0.007753799,0.120197926,0.112444127,NA,NA,NA,NA,NA,NA,NA
46,Ridge,3,45-60,PostDrought,15-Nov,1,10.94,8.13,5.75,1.57,4.13,1:53,2:04,4.47,45.14,44.68,29.95,81.2,81.21,30.24,30.06,29.09,0.003991991,0.051986719,0.047994728,NA,NA,NA,NA,NA,NA,NA
47,Ridge,3,60-75,PostDrought,15-Nov,1.01,11.45,7.99,5.28,1.64,4.17,1:54,2:04,4.77,45,44.35,30.08,81.18,81.22,29.11,30.72,29.26,0.003218154,0.03657132,0.033353166,NA,NA,NA,NA,NA,NA,NA
48,Ridge,3,75-90,PostDrought,15-Nov,1,11.15,8.67,5.74,1.47,3.93,1:55,2:05,4.64,44.31,44.54,30.02,81.24,81.24,29.94,29.88,28.84,0.003459704,0.0307725,0.027312796,NA,NA,NA,NA,NA,NA,NA
49,Ridge,3,90-105,PostDrought,15-Nov,0.97,11.05,7.66,5.53,1.56,4.22,1:57,2:07,4.61,44.44,44.63,30.03,81.25,81.21,30.05,29.81,28.65,0.003492685,0.030605627,0.027112942,NA,NA,NA,NA,NA,NA,NA
50,Slope,3,0-15,PostDrought,15-Nov,0.98,11.24,6.56,6.67,1.45,4.13,1:58,2:08,5.02,45.5,45.32,30,81.16,81.25,31.22,29.88,28.93,0.008358281,0.174092945,0.165734664,NA,NA,NA,NA,NA,NA,NA
51,Slope,3,15-30,PostDrought,15-Nov,0.98,11,7.25,5.65,1.56,4.07,1:59,2:09,5.16,45.39,44.73,30,81.25,81.19,29.37,29.9,28.97,0.004244552,0.046828645,0.042584092,NA,NA,NA,NA,NA,NA,NA
52,Slope,3,30-45,PostDrought,15-Nov,0.99,11.09,7.5,5.73,1.57,3.96,2:00,2:10,4.97,45.21,44.83,30.05,81.22,81.22,29.97,30.11,29.15,0.003273408,0.046209712,0.042936305,NA,NA,NA,NA,NA,NA,NA
53,Slope,3,45-60,PostDrought,15-Nov,1.08,11.08,7.47,5.49,1.49,4.08,2:01,2:11,5.05,44.67,45.06,30.04,81.23,81.23,30.11,30.64,28.9,0.00323834,0.043660274,0.040421934,NA,NA,NA,NA,NA,NA,NA
54,Slope,3,60-75,PostDrought,15-Nov,0.98,11.11,7.27,5.77,1.49,4.07,2:02,2:12,5,44.99,44.55,30.08,81.25,81.21,29.92,29.99,28.82,0.002560267,0.036441069,0.033880801,NA,NA,NA,NA,NA,NA,NA
55,Slope,3,75-90,PostDrought,15-Nov,1,11.01,7.21,5.24,1.53,4.37,2:07,2:17,5.01,44.94,44.8,29.98,81.25,81.21,30.57,29.16,28.06,0.002597398,0.037021899,0.0344245,NA,NA,NA,NA,NA,NA,NA
56,Slope,3,90-105,PostDrought,15-Nov,1,11.12,6.89,6.03,1.61,4.18,2:11,2:21,5.04,44.98,44.43,30.03,81.23,81.23,29.96,30.17,28.83,0.003652566,0.045720091,0.042067525,NA,NA,NA,NA,NA,NA,NA
57,Valley,3,0-15,PostDrought,15-Nov,1,11.41,5.81,5.67,1.56,4.04,2:12,2:22,4.89,45.02,44.97,30.02,81.24,81.2,29.24,30.69,29.89,1.103614968,2.633786681,1.530171713,NA,NA,NA,NA,NA,NA,NA
58,Valley,3,15-30,PostDrought,15-Nov,1.01,11.1,5.98,5.75,1.51,4.02,2:14,2:24,4.83,45.05,44.77,29.99,81.21,81.2,30.32,29.86,25.81,1.404476412,1.705059854,0.300583442,NA,NA,NA,NA,NA,NA,NA
59,Valley,3,30-45,PostDrought,15-Nov,1,11.09,6.8,5.53,1.53,4.08,2:15,2:25,5.03,45,45.13,29.97,81.23,81.22,30.54,31.32,30.15,3.233385293,2.156917198,-1.076468094,NA,NA,NA,NA,NA,NA,NA
60,Valley,3,45-60,PostDrought,15-Nov,1,12.15,8,6,1.49,4.02,2:16,2:26,5.32,45.02,44.49,29.99,81.21,81.2,30.88,30.38,29.62,1.065701766,1.682759695,0.617057929,NA,NA,NA,NA,NA,NA,NA
61,Valley,3,60-75,PostDrought,15-Nov,0.99,11.53,7.62,5.2,1.51,4.21,2:18,2:28,5.14,45.02,44.91,30,81.2,81.24,29.97,30.52,29.23,0.008377696,0.043927445,0.035549749,NA,NA,NA,NA,NA,NA,NA
62,Valley,3,75-90,PostDrought,15-Nov,1.02,11.12,7.61,5.59,1.53,4.03,2:19,2:29,5.02,45.03,44.25,30.02,81.18,81.24,30.2,30.29,29.18,0.005114033,0.024999559,0.019885526,NA,NA,NA,NA,NA,NA,NA
63,Valley,3,90-105,PostDrought,15-Nov,0.99,11.35,7.63,5.31,1.6,4.01,2:20,2:30,4.91,45.41,45.12,29.96,81.22,81.18,29.98,30.58,28.62,0.007409096,0.043504731,0.036095635,NA,NA,NA,NA,NA,NA,NA
64,Ridge,4,0-15,PostDrought,15-Nov,0.94,11.16,6.82,5.9,1.49,4.09,2:22,2:32,4.65,45.04,45.05,30.08,81.23,81.21,29.9,30.11,28.99,0.009791335,0.175302833,0.165511497,NA,NA,NA,NA,NA,NA,NA
65,Ridge,4,15-30,PostDrought,15-Nov,0.98,10.98,7.26,5.28,1.49,4.24,2:23,2:33,4.79,45.3,44.56,29.98,81.23,81.22,29.64,30.1,29,0.00584522,0.113706908,0.107861688,NA,NA,NA,NA,NA,NA,NA
66,Ridge,4,30-45,PostDrought,15-Nov,1,11.14,7.45,5.7,1.52,3.96,2:25,2:35,4.83,45.33,45.42,29.98,81.22,81.18,30.13,30.09,29.19,0.003535522,0.062959331,0.059423809,NA,NA,NA,NA,NA,NA,NA
67,Ridge,4,45-60,PostDrought,15-Nov,0.99,11.32,7.48,5.31,1.53,4.48,2:27,2:37,4.52,45.59,44.96,29.98,81.21,81.2,30.72,30.78,29.27,0.003186728,0.029080531,0.025893803,NA,NA,NA,NA,NA,NA,NA
68,Ridge,4,60-75,PostDrought,15-Nov,0.98,10.95,7.35,5.81,1.46,4.06,2:28,2:38,4.93,44.82,44.7,29.95,81.21,81.17,30.06,30.1,29.14,0.002667495,0.022598938,0.019931443,NA,NA,NA,NA,NA,NA,NA
69,Ridge,4,75-90,PostDrought,15-Nov,0.97,11.23,7.59,5.03,1.5,4.22,2:30,2:40,4.95,45.42,45.32,29.99,81.22,81.22,29.8,30.17,29.1,0.003051022,0.030341899,0.027290877,NA,NA,NA,NA,NA,NA,NA
70,Ridge,4,90-105,PostDrought,15-Nov,0.96,10.96,7.19,5.81,1.5,4.11,2:31,2:41,4.96,44.64,44.78,30.03,81.22,81.18,29.75,29.5,28.73,0.002937106,0.029220141,0.026283034,NA,NA,NA,NA,NA,NA,NA
71,Slope,4,0-15,PostDrought,15-Nov,0.98,10.93,7.12,5.19,1.62,4.1,2:33,2:43,5.02,44.87,45.18,30.02,81.21,81.16,30.39,29.95,28.77,0.004738402,0.069573606,0.064835204,NA,NA,NA,NA,NA,NA,NA
72,Slope,4,15-30,PostDrought,15-Nov,0.99,10.94,7.29,5.56,1.58,3.96,2:34,2:44,4.97,45.42,45.02,30.01,81.21,81.26,31.42,30.25,29.07,0.003259343,0.036168196,0.032908853,NA,NA,NA,NA,NA,NA,NA
73,Slope,4,30-45,PostDrought,15-Nov,1,11.21,7.46,5.56,1.53,4,2:36,2:46,4.98,44.92,45.08,30.03,81.23,81.18,30.72,30.63,29.59,0.002630384,0.025251684,0.0226213,NA,NA,NA,NA,NA,NA,NA
74,Slope,4,45-60,PostDrought,15-Nov,1.01,11.04,7.37,5.7,1.54,4,2:38,2:48,5.01,44.91,45.14,30.02,81.24,81.21,29.96,30.03,28.77,0.002764989,0.038914659,0.03614967,NA,NA,NA,NA,NA,NA,NA
75,Slope,4,60-75,PostDrought,15-Nov,0.98,11.21,7.52,7.19,1.51,3.96,2:39,2:49,5.19,44.87,45.2,30.02,81.23,81.24,30.6,29.88,28.72,0.00217417,0.033498318,0.031324148,NA,NA,NA,NA,NA,NA,NA
76,Slope,4,75-90,PostDrought,15-Nov,0.97,11.11,7.3,6.2,1.56,4.22,2:42,2:52,4.98,44.82,44.72,29.98,81.23,81.2,32.5,29.94,28.88,0.001625744,0.037296479,0.035670735,NA,NA,NA,NA,NA,NA,NA
77,Slope,4,90-105,PostDrought,15-Nov,0.98,11.2,7.16,5.2,1.52,4,2:44,2:54,5.03,45.28,44.62,30.08,81.25,81.18,29.9,29.95,28.79,0.001294829,0.03672606,0.035431231,NA,NA,NA,NA,NA,NA,NA
78,Valley,4,0-15,PostDrought,15-Nov,0.98,11.09,6.56,6.44,1.54,4.15,2:45,2:55,4.96,45.17,44.65,29.99,81.21,81.26,30.55,30,28.44,0.507922946,1.046815414,0.538892468,NA,NA,NA,NA,NA,NA,NA
79,Valley,4,15-30,PostDrought,15-Nov,0.98,11.2,7.23,5.17,1.54,4.07,2:47,2:57,5.88,45,45.33,29.95,81.26,81.23,30.05,30.63,29.3,0.007375332,0.114259106,0.106883775,NA,NA,NA,NA,NA,NA,NA
80,Valley,4,30-45,PostDrought,15-Nov,0.98,11.13,7.59,7.34,1.48,3.95,2:48,2:58,5.25,45.17,45.07,30.04,81.23,8.23,30.01,30.11,29.1,0.00131637,0.010995565,0.009679194,NA,NA,NA,NA,NA,NA,NA
81,Valley,4,45-60,PostDrought,15-Nov,0.97,11.21,7.64,5.31,1.44,4,2:50,3:00,5.56,45.25,45.08,30.06,81.24,81.17,30.09,30.15,28.81,0.001605209,0.015410004,0.013804796,NA,NA,NA,NA,NA,NA,NA
82,Valley,4,60-75,PostDrought,15-Nov,0.99,11.02,7.42,6.02,1.57,4.22,2:51,3:01,5.61,44.83,44.93,29.92,81.2,81.2,30.18,30.05,29.15,0.002014065,0.025511487,0.023497422,NA,NA,NA,NA,NA,NA,NA
83,Valley,4,75-90,PostDrought,15-Nov,0.99,10.92,6.94,5.38,1.58,4.36,2:52,3:02,5.44,45.33,45.13,30.04,81.22,81.24,30.14,30.25,29.19,0.002181546,0.026867455,0.02468591,NA,NA,NA,NA,NA,NA,NA
84,Valley,4,90-105,PostDrought,15-Nov,0.99,11.17,7.51,5.92,1.61,3.98,2:54,3:04,5.61,44.76,45.11,30.03,81.25,81.2,32.41,29.73,27.72,0.002050022,0.021476417,0.019426395,NA,NA,NA,NA,NA,NA,NA
Blank 1,Blank,Blank,Blank,PostDrought,15-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.14,44.96,30.09,81.25,81.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blank 2,Blank,Blank,Blank,PostDrought,15-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.54,45.15,29.99,81.22,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Ridge,1,0-15,PreDrought,15-Apr,1.01,12.14,7.97,5.67,1.48,4.96,2:09,2:19,4.3,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.23,30.41,27.65,0.041886585,NA,1.057372459,0,10.11589804,10.11589804,52.05389752,98.63045157,46.57655405,NA
2,Ridge,2,0-15,PreDrought,15-Apr,1.02,11.99,7.61,5.34,1.52,5.01,2:10,2:20,4.24,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,31.47,30.22,27.84,0.082887197,NA,0.841673577,3.440785051,13.19342148,9.752636426,73.63214957,147.012927,73.38077746,NA
3,Ridge,3,0-15,PreDrought,15-Apr,1.02,11.66,7.07,5.67,1.61,5.14,2:11,2:22,4.74,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.73,30.28,27.48,0.070680179,NA,1.073737885,1.715972404,13.15952425,11.44355185,68.67211059,146.6352138,77.96310321,NA
4,Ridge,4,0-15,PreDrought,15-Apr,1,11.05,7.31,5.66,1.64,5.24,2:12,2:23,4.67,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.04,30.11,27.51,0.06623431,NA,1.215995249,0,9.092286006,9.092286006,60.66822484,114.7237742,54.05554937,NA
5,Ridge,5,0-15,PreDrought,15-Apr,0.96,11.45,6.93,5.8,1.59,5.05,2:13,2:24,4.69,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.26,30.61,27.93,0.030245125,NA,0.946267399,0,7.379319317,7.379319317,50.60670599,103.8436566,53.23695058,NA
