Sample#,Location,Replicate,Depth,Sampling Period,SamplingMonth,Tin Weight (g),Tin + wet soil (g),Tin + dry soil wt (g),Soil for Fe in 0.5 M HCl (g),Soil for P in 0.5 M NaHCO3 (g),Soil for pH (g),Time H2O added,Time pH read,pH,NaOH wt reagent,NaHCO3 wt reagent,HCl wt reagent,2M KCl wt reagent N concentrations day 0,2M KCl wt reagent N transformations day 7,Soil wt in 2M KCl cup (g) for N concetrations day 0,Soil for N transformations wt day 0,Soil for N transformations wt day 7,Fe(II) concentration (mg-Fe/g),Fe(II+III) concentration (mg-Fe/g),FeIII_mg_Fe_per_dry_weight_soil_g,Bicarb-Pi,Bicarb-Pt,Bicarb-Po,NaOH-Pi,NaOH-Pt,NaOH-Po,Total P
23,Slope,5,15-30,PreDrought,15-Apr,1.03,11.68,7.47,5.41,1.52,5.06,6:37,6:47,5.16,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.61,30.94,27.71,0.014314878,NA,0.286229318,0,7.264946546,7.264946546,39.8868062,73.02440991,33.13760371,NA
24,Slope,6,15-30,PreDrought,15-Apr,1.02,11.35,6.89,5.27,1.55,5.43,6:35,6:45,5.22,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.13,30.62,26.78,0.055657931,NA,1.068321139,3.567060208,7.58128447,4.014224262,134.0355086,173.7453831,39.70987447,NA
25,Valley,1,0-15,PreDrought,15-Apr,1.01,16.06,6.3,5.3,1.53,5.01,3:04,3:14,6.3,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.17,30.3,28.06,13.76924073,NA,1.107982215,14.60526104,22.40109298,7.795831943,207.7095468,259.5975777,51.88803099,NA
26,Valley,2,0-15,PreDrought,15-Apr,1.03,14.12,7.57,5.54,1.55,5.08,3:01,3:11,5.86,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.33,30.18,26.37,15.03491491,NA,0.462466602,20.28523868,15.5564326,NA,225.7650953,225.3468293,NA,NA
27,Valley,3,0-15,PreDrought,15-Apr,1,11.23,6.03,5.05,1.56,5.12,2:59,3:09,6.01,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.48,30.12,25.4,18.90809664,NA,2.422982261,16.38411393,15.70590123,NA,182.8997279,210.0110739,27.11134606,NA
28,Valley,4,0-15,PreDrought,15-Apr,1.01,12.79,7.25,5.18,1.54,5.05,3:22,3:32,6.37,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.07,30.15,27.19,9.598560715,NA,1.934228371,5.777116914,8.185632649,2.408515734,103.3486426,141.5195147,38.17087206,NA
29,Valley,5,0-15,PreDrought,15-Apr,1.03,12.36,6.75,5.82,1.55,5.12,3:31,3:41,6.12,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.07,30.16,23.72,19.43166733,NA,1.086869529,14.0523884,18.82599752,4.773609119,176.2357769,192.1312928,15.89551589,NA
30,Valley,6,0-15,PreDrought,15-Apr,0.99,12.04,6.4,5.81,1.51,5.11,3:48,3:58,6.08,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.2,30.1,27.48,12.87437603,NA,0.954262467,12.74938506,19.92708989,7.177704827,157.0045312,203.3686416,46.36411039,NA
31,Valley,1,15-30,PreDrought,15-Apr,1.03,16.11,9.68,5.27,1.59,5.05,4:00,4:10,6.07,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.24,30.15,22.7,14.056882,NA,1.554023665,13.77932739,13.2089386,NA,165.5761452,244.3284823,78.75233712,NA
32,Valley,2,15-30,PreDrought,15-Apr,1.04,16.28,9.35,5.86,1.54,5.13,4:10,4:20,6.3,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.08,30.08,22.51,13.60151989,NA,1.079158144,9.353693797,14.34640325,4.992709457,168.0136476,233.3963057,65.38265815,NA
33,Valley,3,15-30,PreDrought,15-Apr,1.05,12.54,7.11,5.15,1.59,5.11,6:18,6:27,5.24,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.12,30.31,27.6,16.48052305,NA,0.542029762,18.73269242,14.36580913,NA,166.3470277,236.9135471,70.56651936,NA
34,Valley,4,15-30,PreDrought,15-Apr,1,11.25,7.05,5.38,1.52,4.93,6:19,6:29,5.68,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.14,30.1,26.76,1.312274462,NA,2.376666706,0,1.457832889,1.457832889,38.20801692,71.8197749,33.61175798,NA
35,Valley,5,15-30,PreDrought,15-Apr,1.03,13.74,8.15,5.4,1.48,5.28,6:39,6:49,5.82,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,29.94,30.17,27.02,18.61649318,NA,1.118489831,9.473790308,11.29234337,1.818553062,150.0569357,194.2956095,44.23867379,NA
36,Valley,6,15-30,PreDrought,15-Apr,1.04,11.73,7.33,5.07,1.58,5.1,6:34,6:44,5.88,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,30.07,30.48,27.24,13.95640734,NA,2.032400977,15.20766035,10.07048082,NA,163.2891751,213.7024926,50.41331749,NA
Blank 1,Blank,Blank,Blank,PreDrought,15-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blank 2,Blank,Blank,Blank,PreDrought,15-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,not recorded,not recorded,not entered; see scanned sheets,not entered; see scanned sheets,not recorded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Ridge,1,0-15,Drought,15-Jul,,,,,,,12:53,1:03,4.6,,,,,,,,,0.069947589,1.282388288,1.212440699,0.248706497,18.326989,18.0782825,28.02475583,119.3314929,91.30673704,137.6584819
2,Ridge,2,0-15,Drought,15-Jul,,,,,,,12:58,1:08,4.53,,,,,,,,,0.033206366,0.841125529,0.807919163,0.247112817,18.20955198,17.96243916,34.45840623,135.9180755,101.4596693,154.1276275
