DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   species                   solenoid_valves           CO2_dry                   CH4_dry                   CH4_dry                   CH4_dry                   N2O_dry                   NH3                       H2O                       H2O                       H2O                       H2O                       H2O                       H2O                       ChemDetect                
2015-06-01                01:17:12.352              151.05361520              3625.286765               152.05361520              1433135832.353            4                         963                       1.4000412369E+02          4.4999320984E+01          6.2562500000E+01          4.6000000000E+01          0.0000000000E+00          5.1077466037E+02          2.0480549470E+00          2.0480549470E+00          2.0480549470E+00          2.6745075247E-01          1.4677783485E+01          2.7653233270E+00          2.7653233270E+00          2.7653233270E+00          2.7653233270E+00          2.7653233270E+00          2.7653233270E+00          0.0000000000E+00          
2015-06-01                01:17:13.512              151.05362861              3625.287087               152.05362861              1433135833.512            4                         963                       1.3999210230E+02          4.4999320984E+01          6.2562500000E+01          4.7000000000E+01          0.0000000000E+00          5.1119845962E+02          2.0454984689E+00          2.0454984689E+00          2.0454984689E+00          2.6709520305E-01          1.4665743483E+01          2.7723129729E+00          2.7723129729E+00          2.7723129729E+00          2.7723129729E+00          2.7723129729E+00          2.7723129729E+00          0.0000000000E+00          
2015-06-01                01:17:14.329              151.05363808              3625.287314               152.05363808              1433135834.330            4                         963                       1.3999210230E+02          4.4999320984E+01          6.2562500000E+01          4.7000000000E+01          0.0000000000E+00          5.1149764739E+02          2.0436939049E+00          2.0436939049E+00          2.0436939049E+00          2.6713768337E-01          1.4657249421E+01          2.7772475530E+00          2.7772475530E+00          2.7772475530E+00          2.7772475530E+00          2.7772475530E+00          2.7772475530E+00          0.0000000000E+00          
2015-06-01                01:17:14.660              151.05364190              3625.287406               152.05364190              1433135834.660            4                         963                       1.3998165797E+02          4.4999329979E+01          6.2562500000E+01          2.5000000000E+01          0.0000000000E+00          5.1161836020E+02          2.0429658809E+00          2.0429658809E+00          2.0429658809E+00          2.6516657188E-01          1.4653798731E+01          2.7792386097E+00          2.7792386097E+00          2.7792386097E+00          2.7792386097E+00          2.7792386097E+00          2.7792386097E+00          0.0000000000E+00          
2015-06-01                01:17:15.803              151.05365514              3625.287723               152.05365514              1433135835.804            4                         963                       1.4000349120E+02          4.4999382019E+01          6.2562500000E+01          4.7000000000E+01          0.0000000000E+00          5.1203704871E+02          2.0431330522E+00          2.0431330522E+00          2.0431330522E+00          2.5833241666E-01          1.4641838929E+01          2.7861424234E+00          2.7861424234E+00          2.7861424234E+00          2.7861424234E+00          2.7861424234E+00          2.7861424234E+00          0.0000000000E+00          
2015-06-01                01:17:16.572              151.05366404              3625.287937               152.05366404              1433135836.573            4                         963                       1.4000349120E+02          4.4999382019E+01          6.2562500000E+01          4.7000000000E+01          0.0000000000E+00          5.1231857386E+02          2.0432453916E+00          2.0432453916E+00          2.0432453916E+00          2.5837172444E-01          1.4633855423E+01          2.7907844783E+00          2.7907844783E+00          2.7907844783E+00          2.7907844783E+00          2.7907844783E+00          2.7907844783E+00          0.0000000000E+00          
2015-06-01                01:17:17.216              151.05367148              3625.288116               152.05367148              1433135837.216            4                         963                       1.3999614198E+02          4.4999382019E+01          6.2550299658E+01          2.0000000000E+00          0.0000000000E+00          5.1255402007E+02          2.0433393165E+00          2.0433393165E+00          2.0433393165E+00          2.6054756057E-01          1.4627205859E+01          2.7946667340E+00          2.7946667340E+00          2.7946667340E+00          2.7946667340E+00          2.7946667340E+00          2.7946667340E+00          0.0000000000E+00          
2015-06-01                01:17:17.984              151.05368038              3625.288329               152.05368038              1433135837.985            4                         963                       1.4001538165E+02          4.4999382019E+01          6.2500000000E+01          4.6000000000E+01          0.0000000000E+00          5.1276771500E+02          2.0432551515E+00          2.0432551515E+00          2.0432551515E+00          2.6309002658E-01          1.4643154405E+01          2.7919751326E+00          2.7919751326E+00          2.7919751326E+00          2.7919751326E+00          2.7919751326E+00          2.7919751326E+00          0.0000000000E+00          
2015-06-01                01:17:19.108              151.05369339              3625.288641               152.05369339              1433135839.109            4                         963                       1.4001720563E+02          4.4999382019E+01          6.2500000000E+01          4.7000000000E+01          0.0000000000E+00          5.1281335727E+02          2.0431325901E+00          2.0431325901E+00          2.0431325901E+00          2.6680348787E-01          1.4666458322E+01          2.7880490599E+00          2.7880490599E+00          2.7880490599E+00          2.7880490599E+00          2.7880490599E+00          2.7880490599E+00          0.0000000000E+00          
2015-06-01                01:17:19.894              151.05370249              3625.288860               152.05370249              1433135839.895            4                         963                       1.4001720563E+02          4.4999382019E+01          6.2500000000E+01          4.7000000000E+01          0.0000000000E+00          5.1284526857E+02          2.0430469508E+00          2.0430469508E+00          2.0430469508E+00          2.6678085790E-01          1.4682722878E+01          2.7853040462E+00          2.7853040462E+00          2.7853040462E+00          2.7853040462E+00          2.7853040462E+00          2.7853040462E+00          0.0000000000E+00          
2015-06-01                01:17:20.230              151.05370637              3625.288953               152.05370637              1433135840.230            4                         963                       1.4001685887E+02          4.4999382019E+01          6.2500000000E+01          2.5000000000E+01          0.0000000000E+00          5.1285887247E+02          2.0430104323E+00          2.0430104323E+00          2.0430104323E+00          2.6804393021E-01          1.4689670328E+01          2.7841342077E+00          2.7841342077E+00          2.7841342077E+00          2.7841342077E+00          2.7841342077E+00          2.7841342077E+00          0.0000000000E+00          
2015-06-01                01:17:21.394              151.05371984              3625.289276               152.05371984              1433135841.394            4                         963                       1.3999770893E+02          4.4999382019E+01          6.2475635593E+01          4.7000000000E+01          0.0000000000E+00          5.1290603980E+02          2.0408802635E+00          2.0408802635E+00          2.0408802635E+00          2.7243212929E-01          1.4713808195E+01          2.7800699684E+00          2.7800699684E+00          2.7800699684E+00          2.7800699684E+00          2.7800699684E+00          2.7800699684E+00          0.0000000000E+00          
2015-06-01                01:17:22.187              151.05372903              3625.289497               152.05372903              1433135842.188            4                         963                       1.3999770893E+02          4.4999382019E+01          6.2475635593E+01          4.7000000000E+01          0.0000000000E+00          5.1293820737E+02          2.0394274070E+00          2.0394274070E+00          2.0394274070E+00          2.7240893372E-01          1.4730236977E+01          2.7772980850E+00          2.7772980850E+00          2.7772980850E+00          2.7772980850E+00          2.7772980850E+00          2.7772980850E+00          0.0000000000E+00          
2015-06-01                01:17:22.819              151.05373634              3625.289672               152.05373634              1433135842.820            4                         963                       1.4000899641E+02          4.4999382019E+01          6.2437500000E+01          2.0000000000E+00          0.0000000000E+00          5.1296380517E+02          2.0382711124E+00          2.0382711124E+00          2.0382711124E+00          2.6946795822E-01          1.4743278524E+01          2.7750920158E+00          2.7750920158E+00          2.7750920158E+00          2.7750920158E+00          2.7750920158E+00          2.7750920158E+00          0.0000000000E+00          
2015-06-01                01:17:23.595              151.05374531              3625.289888               152.05374531              1433135843.595            4                         963                       1.3999104309E+02          4.4999382019E+01          6.2437500000E+01          4.6000000000E+01          0.0000000000E+00          5.1303902084E+02          2.0369795956E+00          2.0369795956E+00          2.0369795956E+00          2.6589514338E-01          1.4839244347E+01          2.7771167057E+00          2.7771167057E+00          2.7771167057E+00          2.7771167057E+00          2.7771167057E+00          2.7771167057E+00          0.0000000000E+00          
2015-06-01                01:17:24.716              151.05375829              3625.290199               152.05375829              1433135844.716            4                         963                       1.3998106602E+02          4.4999393916E+01          6.2437500000E+01          4.7000000000E+01          0.0000000000E+00          5.1255646119E+02          2.0351123196E+00          2.0351123196E+00          2.0351123196E+00          2.6072174673E-01          1.4978038538E+01          2.7800621824E+00          2.7800621824E+00          2.7800621824E+00          2.7800621824E+00          2.7800621824E+00          2.7800621824E+00          0.0000000000E+00          
2015-06-01                01:17:25.506              151.05376743              3625.290418               152.05376743              1433135845.506            4                         963                       1.3998106602E+02          4.4999393916E+01          6.2437500000E+01          4.7000000000E+01          0.0000000000E+00          5.1221636789E+02          2.0337962516E+00          2.0337962516E+00          2.0337962516E+00          2.6072918382E-01          1.5075894764E+01          2.7821381927E+00          2.7821381927E+00          2.7821381927E+00          2.7821381927E+00          2.7821381927E+00          2.7821381927E+00          0.0000000000E+00          
2015-06-01                01:17:25.835              151.05377125              3625.290510               152.05377125              1433135845.836            4                         963                       1.3997436523E+02          4.4999412537E+01          6.2437500000E+01          2.5000000000E+01          0.0000000000E+00          5.1207429951E+02          2.0332464595E+00          2.0332464595E+00          2.0332464595E+00          2.6197509943E-01          1.5116786410E+01          2.7830054481E+00          2.7830054481E+00          2.7830054481E+00          2.7830054481E+00          2.7830054481E+00          2.7830054481E+00          0.0000000000E+00          
2015-06-01                01:17:26.967              151.05378435              3625.290824               152.05378435              1433135846.968            4                         963                       1.4001598504E+02          4.4999412537E+01          6.2437500000E+01          4.7000000000E+01          0.0000000000E+00          5.1158699851E+02          2.0327003152E+00          2.0327003152E+00          2.0327003152E+00          2.6624932134E-01          1.5257058440E+01          2.7859806733E+00          2.7859806733E+00          2.7859806733E+00          2.7859806733E+00          2.7859806733E+00          2.7859806733E+00          0.0000000000E+00          
2015-06-01                01:17:27.729              151.05379316              3625.291036               152.05379316              1433135847.729            4                         963                       1.4001598504E+02          4.4999412537E+01          6.2437500000E+01          4.7000000000E+01          0.0000000000E+00          5.1125937094E+02          2.0323331976E+00          2.0323331976E+00          2.0323331976E+00          2.6625671563E-01          1.5351323342E+01          2.7879810438E+00          2.7879810438E+00          2.7879810438E+00          2.7879810438E+00          2.7879810438E+00          2.7879810438E+00          0.0000000000E+00          
2015-06-01                01:17:28.372              151.05380061              3625.291215               152.05380061              1433135848.373            4                         963                       1.4001681362E+02          4.4999412537E+01          6.2437500000E+01          2.0000000000E+00          0.0000000000E+00          5.1098209182E+02          2.0320225547E+00          2.0320225547E+00          2.0320225547E+00          2.6386912373E-01          1.5431066601E+01          2.7896740188E+00          2.7896740188E+00          2.7896740188E+00          2.7896740188E+00          2.7896740188E+00          2.7896740188E+00          0.0000000000E+00          
2015-06-01                01:17:29.144              151.05380955              3625.291429               152.05380955              1433135849.145            4                         963                       1.4000251961E+02          4.4999412537E+01          6.2437500000E+01          4.6000000000E+01          0.0000000000E+00          5.1063735458E+02          2.0316146361E+00          2.0316146361E+00          2.0316146361E+00          2.6101025529E-01          1.5293317653E+01          2.7903723536E+00          2.7903723536E+00          2.7903723536E+00          2.7903723536E+00          2.7903723536E+00          2.7903723536E+00          0.0000000000E+00          
