DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   species                   solenoid_valves           CO2_dry                   CH4_dry                   CH4_dry                   CH4_dry                   N2O_dry                   NH3                       H2O                       H2O                       H2O                       H2O                       H2O                       H2O                       ChemDetect                
2015-08-11                21:14:29.700              222.88506597              5349.241583               223.88506597              1439342069.700            4                         963                       1.3999556701E+02          4.5002510403E+01          5.2937500000E+01          4.7000000000E+01          0.0000000000E+00          4.2001787539E+02          1.8461933889E+00          1.8461933889E+00          1.8461933889E+00          3.2537377673E-01          4.2893488059E+00          2.7979574962E+00          2.7979574962E+00          2.7979574962E+00          2.7979574962E+00          2.7979574962E+00          2.7979574962E+00          0.0000000000E+00          
2015-08-11                21:14:30.492              222.88507514              5349.241803               223.88507514              1439342070.492            4                         963                       1.3999556701E+02          4.5002510403E+01          5.2937500000E+01          4.7000000000E+01          0.0000000000E+00          4.2019285365E+02          1.8465776106E+00          1.8465776106E+00          1.8465776106E+00          3.2540088853E-01          4.2309862124E+00          2.8003522619E+00          2.8003522619E+00          2.8003522619E+00          2.8003522619E+00          2.8003522619E+00          2.8003522619E+00          0.0000000000E+00          
2015-08-11                21:14:31.150              222.88508275              5349.241986               223.88508275              1439342071.150            4                         963                       1.4000482037E+02          4.5002647400E+01          5.2937500000E+01          2.0000000000E+00          0.0000000000E+00          4.2033823502E+02          1.8468968882E+00          1.8468968882E+00          1.8468968882E+00          3.2321960115E-01          4.1824715170E+00          2.8023420635E+00          2.8023420635E+00          2.8023420635E+00          2.8023420635E+00          2.8023420635E+00          2.8023420635E+00          0.0000000000E+00          
2015-08-11                21:14:31.923              222.88509170              5349.242201               223.88509170              1439342071.923            4                         963                       1.3998826599E+02          4.5002647400E+01          5.2937500000E+01          4.6000000000E+01          0.0000000000E+00          4.2048193140E+02          1.8471855218E+00          1.8471855218E+00          1.8471855218E+00          3.2062246460E-01          4.1523047349E+00          2.8011097593E+00          2.8011097593E+00          2.8011097593E+00          2.8011097593E+00          2.8011097593E+00          2.8011097593E+00          0.0000000000E+00          
2015-08-11                21:14:33.059              222.88510485              5349.242516               223.88510485              1439342073.059            4                         963                       1.3998549362E+02          4.5002647400E+01          5.2937500000E+01          4.7000000000E+01          0.0000000000E+00          4.2114420336E+02          1.8476089875E+00          1.8476089875E+00          1.8476089875E+00          3.1680973993E-01          4.1079836560E+00          2.7992862981E+00          2.7992862981E+00          2.7992862981E+00          2.7992862981E+00          2.7992862981E+00          2.7992862981E+00          0.0000000000E+00          
2015-08-11                21:14:33.845              222.88511395              5349.242735               223.88511395              1439342073.845            4                         963                       1.3998549362E+02          4.5002647400E+01          5.2937500000E+01          4.7000000000E+01          0.0000000000E+00          4.2160241153E+02          1.8479019265E+00          1.8479019265E+00          1.8479019265E+00          3.1680417508E-01          4.0773495910E+00          2.7980247357E+00          2.7980247357E+00          2.7980247357E+00          2.7980247357E+00          2.7980247357E+00          2.7980247357E+00          0.0000000000E+00          
2015-08-11                21:14:34.165              222.88511766              5349.242824               223.88511766              1439342074.166            4                         963                       1.3999627396E+02          4.5002647400E+01          5.2937500000E+01          2.5000000000E+01          0.0000000000E+00          4.2178953337E+02          1.8480215842E+00          1.8480215842E+00          1.8480215842E+00          3.1544913648E-01          4.0648224147E+00          2.7975095399E+00          2.7975095399E+00          2.7975095399E+00          2.7975095399E+00          2.7975095399E+00          2.7975095399E+00          0.0000000000E+00          
2015-08-11                21:14:35.329              222.88513113              5349.243147               223.88513113              1439342075.330            4                         963                       1.4001478732E+02          4.5002578458E+01          5.2937500000E+01          4.7000000000E+01          0.0000000000E+00          4.2246802703E+02          1.8481953146E+00          1.8481953146E+00          1.8481953146E+00          3.1053573772E-01          4.0193965155E+00          2.7956414608E+00          2.7956414608E+00          2.7956414608E+00          2.7956414608E+00          2.7956414608E+00          2.7956414608E+00          0.0000000000E+00          
2015-08-11                21:14:36.121              222.88514029              5349.243367               223.88514029              1439342076.121            4                         963                       1.4001478732E+02          4.5002578458E+01          5.2937500000E+01          4.7000000000E+01          0.0000000000E+00          4.2292908195E+02          1.8483133106E+00          1.8483133106E+00          1.8483133106E+00          3.1053027196E-01          3.9885674070E+00          2.7943720965E+00          2.7943720965E+00          2.7943720965E+00          2.7943720965E+00          2.7943720965E+00          2.7943720965E+00          0.0000000000E+00          
2015-08-11                21:14:36.769              222.88514779              5349.243547               223.88514779              1439342076.769            4                         963                       1.4000334795E+02          4.5002555847E+01          5.2937500000E+01          2.0000000000E+00          0.0000000000E+00          4.2330677469E+02          1.8484099387E+00          1.8484099387E+00          1.8484099387E+00          3.1242830953E-01          3.9633346531E+00          2.7933322700E+00          2.7933322700E+00          2.7933322700E+00          2.7933322700E+00          2.7933322700E+00          2.7933322700E+00          0.0000000000E+00          
2015-08-11                21:14:37.539              222.88515671              5349.243761               223.88515671              1439342077.540            4                         963                       1.3999899642E+02          4.5002555847E+01          5.2937500000E+01          4.6000000000E+01          0.0000000000E+00          4.2376637966E+02          1.8485572889E+00          1.8485572889E+00          1.8485572889E+00          3.1469183964E-01          4.0463351114E+00          2.7934300577E+00          2.7934300577E+00          2.7934300577E+00          2.7934300577E+00          2.7934300577E+00          2.7934300577E+00          0.0000000000E+00          
