day,drought period,CO2-e CO2 cumulative kg per ha - actual,CO2-e CH4 cumulative kg per ha - actual,CO2-e total cumulative kg per ha - actual,CO2-e CO2 cumulative kg per ha - baseline,CO2-e CH4 cumulative kg per ha - baseline,CO2-e total cumulative kg per ha - baseline,"CO2-e CO2 cumulative kg per ha - actual, high","CO2-e CH4 cumulative kg per ha - actual, high","CO2-e total cumulative kg per ha - actual, high","CO2-e CO2 cumulative kg per ha - baseline, high","CO2-e CH4 cumulative kg per ha - baseline, high","CO2-e total cumulative kg per ha - baseline, high","CO2-e CO2 cumulative kg per ha - actual, low","CO2-e CH4 cumulative kg per ha - actual, low","CO2-e total cumulative kg per ha - actual, low","CO2-e CO2 cumulative kg per ha - baseline, low","CO2-e CH4 cumulative kg per ha - baseline, low","CO2-e total cumulative kg per ha - baseline, low"
239,drought recovery,9736.430382,13623.90842,23360.3388,7142.341921,263581.0059,270723.3479,16865.73442,251609.1518,268474.8863,12546.78063,761645.1649,774191.9456,2607.126339,-224361.335,-221754.2087,1737.903208,-234483.153,-232745.2498
240,drought recovery,9776.896407,13540.43606,23317.33247,7172.226197,264683.8553,271856.0815,16939.24061,251951.7449,268890.9855,12599.27762,764831.9648,777431.2424,2614.552204,-224870.8728,-222256.3206,1745.174769,-235464.2541,-233719.0793
241,drought recovery,9817.362432,13456.9637,23274.32613,7202.110473,265786.7047,272988.8152,17012.7468,252294.338,269307.0848,12651.77461,768018.7646,780670.5392,2621.978069,-225380.4106,-222758.4325,1752.446331,-236445.3552,-234692.9088
242,drought recovery,9857.828457,13373.49134,23231.3198,7231.994749,266889.5541,274121.5489,17086.25298,252636.9311,269723.1841,12704.2716,771205.5645,783909.8361,2629.403934,-225889.9484,-223260.5445,1759.717892,-237426.4562,-235666.7383
243,drought recovery,9898.294482,13290.01898,23188.31346,7261.879024,267992.4035,275254.2826,17159.75917,252979.5242,270139.2834,12756.76859,774392.3643,787149.1329,2636.829799,-226399.4862,-223762.6564,1766.989454,-238407.5573,-236640.5678
244,drought recovery,9938.760508,13206.54662,23145.30712,7291.7633,269095.2529,276387.0162,17233.26535,253322.1173,270555.3826,12809.26558,777579.1642,790388.4298,2644.255665,-226909.024,-224264.7684,1774.261016,-239388.6583,-237614.3973
245,drought recovery,9979.226533,13123.07426,23102.30079,7321.647576,270198.1023,277519.7499,17306.77154,253664.7104,270971.4819,12861.76258,780765.964,793627.7266,2651.68153,-227418.5619,-224766.8803,1781.532577,-240369.7594,-238588.2268
246,drought recovery,10019.69256,13039.60189,23059.29445,7351.531852,271300.9517,278652.4836,17380.27772,254007.3035,271387.5812,12914.25957,783952.7639,796867.0235,2659.107395,-227928.0997,-225268.9923,1788.804139,-241350.8605,-239562.0563
247,drought recovery,10060.15858,12956.12953,23016.28812,7381.416128,272403.8011,279785.2172,17453.78391,254349.8965,271803.6804,12966.75656,787139.5637,800106.3203,2666.53326,-228437.6375,-225771.1042,1796.0757,-242331.9615,-240535.8858
248,drought recovery,10100.62461,12872.65717,22973.28178,7411.300404,273506.6505,280917.9509,17527.29009,254692.4896,272219.7797,13019.25355,790326.3636,803345.6171,2673.959125,-228947.1753,-226273.2162,1803.347262,-243313.0626,-241509.7153
249,drought recovery,10141.09063,12789.18481,22930.27544,7441.184679,274609.4999,282050.6846,17600.79628,255035.0827,272635.879,13071.75054,793513.1635,806584.914,2681.384991,-229456.7131,-226775.3281,1810.618823,-244294.1636,-242483.5448
250,drought recovery,10181.55666,12705.71245,22887.26911,7471.068955,275712.3493,283183.4183,17674.30246,255377.6758,273051.9783,13124.24753,796699.9633,809824.2108,2688.810856,-229966.2509,-227277.44,1817.890385,-245275.2647,-243457.3743
251,drought recovery,10222.02268,12622.24009,22844.26277,7500.953231,276815.1987,284316.1519,17747.80865,255720.2689,273468.0775,13176.74452,799886.7632,813063.5077,2696.236721,-230475.7887,-227779.552,1825.161946,-246256.3657,-244431.2038
252,drought recovery,10262.48871,12538.76773,22801.25644,7530.837507,277918.0481,285448.8856,17821.31483,256062.862,273884.1768,13229.24151,803073.563,816302.8045,2703.662586,-230985.3265,-228281.6639,1832.433508,-247237.4668,-245405.0333
253,drought recovery,10302.95473,12455.29537,22758.2501,7560.721783,279020.8975,286581.6193,17894.82102,256405.4551,274300.2761,13281.7385,806260.3629,819542.1014,2711.088451,-231494.8643,-228783.7759,1839.705069,-248218.5679,-246378.8628
254,drought recovery,10343.42076,12371.823,22715.24376,7590.606058,280123.7469,287714.353,17968.3272,256748.0481,274716.3753,13334.23549,809447.1627,822781.3982,2718.514317,-232004.4021,-229285.8878,1846.976631,-249199.6689,-247352.6923
255,drought recovery,10383.88678,12288.35064,22672.23743,7620.490334,281226.5963,288847.0866,18041.83339,257090.6412,275132.4746,13386.73248,812633.9626,826020.6951,2725.940182,-232513.9399,-229787.9998,1854.248192,-250180.77,-248326.5218
256,drought recovery,10424.35281,12204.87828,22629.23109,7650.37461,282329.4457,289979.8203,18115.33957,257433.2343,275548.5739,13439.22947,815820.7624,829259.9919,2733.366047,-233023.4778,-230290.1117,1861.519754,-251161.871,-249300.3513
257,drought recovery,10464.81884,12121.40592,22586.22476,7680.258886,283432.2951,291112.554,18188.84576,257775.8274,275964.6732,13491.72646,819007.5623,832499.2887,2740.791912,-233533.0156,-230792.2236,1868.791316,-252142.9721,-250274.1808
258,drought recovery,10505.28486,12037.93356,22543.21842,7710.143162,284535.1445,292245.2877,18262.35194,258118.4205,276380.7724,13544.22345,822194.3621,835738.5856,2748.217777,-234042.5534,-231294.3356,1876.062877,-253124.0732,-251248.0103
259,drought recovery,10545.75089,11954.4612,22500.21208,7740.027438,285637.9939,293378.0213,18335.85813,258461.0136,276796.8717,13596.72044,825381.162,838977.8824,2755.643643,-234552.0912,-231796.4475,1883.334439,-254105.1742,-252221.8398
260,drought recovery,10586.21691,11870.98884,22457.20575,7769.911713,286740.8433,294510.755,18409.36431,258803.6067,277212.971,13649.21743,828567.9618,842217.1793,2763.069508,-235061.629,-232298.5595,1890.606,-255086.2753,-253195.6693
261,drought recovery,10626.68294,11787.51648,22414.19941,7799.795989,287843.6927,295643.4887,18482.8705,259146.1998,277629.0702,13701.71442,831754.7617,845456.4761,2770.495373,-235571.1668,-232800.6714,1897.877562,-256067.3763,-254169.4988
262,drought recovery,10667.14896,11704.04411,22371.19308,7829.680265,288946.5421,296776.2223,18556.37668,259488.7928,278045.1695,13754.21141,834941.5615,848695.773,2777.921238,-236080.7046,-233302.7834,1905.149123,-257048.4774,-255143.3283
263,drought recovery,10707.61499,11620.57175,22328.18674,7859.564541,290049.3915,297908.956,18629.88287,259831.3859,278461.2688,13806.7084,838128.3614,851935.0698,2785.347103,-236590.2424,-233804.8953,1912.420685,-258029.5785,-256117.1578
264,drought recovery,10748.08101,11537.09939,22285.1804,7889.448817,291152.2409,299041.6897,18703.38905,260173.979,278877.3681,13859.20539,841315.1613,855174.3666,2792.772969,-237099.7802,-234307.0073,1919.692246,-259010.6795,-257090.9873
265,drought recovery,10788.54704,11453.62703,22242.17407,7919.333092,292255.0903,300174.4234,18776.89524,260516.5721,279293.4673,13911.70238,844501.9611,858413.6635,2800.198834,-237609.318,-234809.1192,1926.963808,-259991.7806,-258064.8168
266,drought recovery,10829.01306,11370.15467,22199.16773,7949.217368,293357.9397,301307.157,18850.40142,260859.1652,279709.5666,13964.19937,847688.761,861652.9603,2807.624699,-238118.8558,-235311.2311,1934.235369,-260972.8816,-259038.6463
267,drought recovery,10869.47909,11286.68231,22156.1614,7979.101644,294460.7891,302439.8907,18923.90761,261201.7583,280125.6659,14016.69636,850875.5608,864892.2572,2815.050564,-238628.3937,-235813.3431,1941.506931,-261953.9827,-260012.4758
268,drought recovery,10909.94511,11203.20995,22113.15506,8008.98592,295563.6385,303572.6244,18997.4138,261544.3514,280541.7652,14069.19335,854062.3607,868131.554,2822.476429,-239137.9315,-236315.455,1948.778492,-262935.0837,-260986.3053
269,drought recovery,10950.41114,11119.73759,22070.14872,8038.870196,296666.4879,304705.3581,19070.91998,261886.9444,280957.8644,14121.69034,857249.1605,871370.8509,2829.902294,-239647.4693,-236817.567,1956.050054,-263916.1848,-261960.1347
270,drought recovery,10990.87716,11036.26523,22027.14239,8068.754472,297769.3373,305838.0917,19144.42617,262229.5375,281373.9637,14174.18733,860435.9604,874610.1477,2837.32816,-240157.0071,-237319.6789,1963.321616,-264897.2859,-262933.9642
271,drought recovery,11031.34319,10952.79286,21984.13605,8098.638747,298872.1867,306970.8254,19217.93235,262572.1306,281790.063,14226.68432,863622.7602,877849.4445,2844.754025,-240666.5449,-237821.7909,1970.593177,-265878.3869,-263907.7937
272,drought recovery,11071.80921,10869.3205,21941.12972,8128.523023,299975.0361,308103.5591,19291.43854,262914.7237,282206.1622,14279.18131,866809.5601,881088.7414,2852.17989,-241176.0827,-238323.9028,1977.864739,-266859.488,-264881.6232
273,drought recovery,11112.27524,10785.84814,21898.12338,8158.407299,301077.8854,309236.2927,19364.94472,263257.3168,282622.2615,14331.6783,869996.3599,884328.0382,2859.605755,-241685.6205,-238826.0148,1985.1363,-267840.589,-265855.4527
274,drought recovery,11152.74126,10702.37578,21855.11704,8188.291575,302180.7348,310369.0264,19438.45091,263599.9099,283038.3608,14384.17529,873183.1598,887567.3351,2867.03162,-242195.1583,-239328.1267,1992.407862,-268821.6901,-266829.2822
275,post-drought,11193.58943,16005.17273,27198.76216,8218.175851,303283.5842,311501.7601,19504.35511,271515.3965,291019.7516,14436.67228,876369.9596,890806.6319,2882.823755,-239505.0511,-236622.2273,1999.679423,-269802.7912,-267803.1117
276,post-drought,11234.4376,21307.96967,32542.40727,8248.060126,304386.4336,312634.4938,19570.25931,279430.8831,299001.1424,14489.16927,879556.7595,894045.9288,2898.61589,-236814.9438,-233916.3279,2006.950985,-270783.8922,-268776.9412
277,post-drought,11275.28577,26610.76662,37886.05238,8277.944402,305489.283,313767.2274,19636.16351,287346.3698,306982.5333,14541.66626,882743.5593,897285.2256,2914.408024,-234124.8365,-231210.4285,2014.222546,-271764.9933,-269750.7707
278,post-drought,11316.13393,31913.56356,43229.6975,8307.828678,306592.1324,314899.9611,19702.06771,295261.8564,314963.9241,14594.16325,885930.3592,900524.5224,2930.200159,-231434.7293,-228504.5291,2021.494108,-272746.0943,-270724.6002
279,post-drought,11356.9821,37216.36051,48573.34261,8337.712954,307694.9818,316032.6948,19767.97191,303177.343,322945.3149,14646.66024,889117.1591,903763.8193,2945.992293,-228744.622,-225798.6297,2028.765669,-273727.1954,-271698.4297
280,post-drought,11397.83027,42519.15745,53916.98772,8367.59723,308797.8312,317165.4285,19833.87611,311092.8297,330926.7058,14699.15723,892303.9589,907003.1161,2961.784428,-226054.5148,-223092.7303,2036.037231,-274708.2964,-272672.2592
281,post-drought,11438.67844,47821.9544,59260.63283,8397.481506,309900.6806,318298.1621,19899.78031,319008.3163,338908.0966,14751.65422,895490.7588,910242.413,2977.576562,-223364.4075,-220386.8309,2043.308792,-275689.3975,-273646.0887
282,post-drought,11479.5266,53124.75134,64604.27795,8427.365781,311003.53,319430.8958,19965.68451,326923.8029,346889.4874,14804.15121,898677.5586,913481.7098,2993.368697,-220674.3002,-217680.9315,2050.580354,-276670.4986,-274619.9182
283,post-drought,11520.37477,58427.54829,69947.92306,8457.250057,312106.3794,320563.6295,20031.58871,334839.2896,354870.8783,14856.6482,901864.3585,916721.0067,3009.160831,-217984.193,-214975.0321,2057.851916,-277651.5996,-275593.7477
284,post-drought,11561.22294,63730.34523,75291.56817,8487.134333,313209.2288,321696.3632,20097.49291,342754.7762,362852.2691,14909.14519,905051.1583,919960.3035,3024.952966,-215294.0857,-212269.1328,2065.123477,-278632.7007,-276567.5772
285,post-drought,11602.07111,69033.14218,80635.21329,8517.018609,314312.0782,322829.0968,20163.39711,350670.2628,370833.6599,14961.64218,908237.9582,923199.6004,3040.745101,-212603.9785,-209563.2334,2072.395039,-279613.8017,-277541.4067
286,post-drought,11642.91928,74335.93912,85978.8584,8546.902885,315414.9276,323961.8305,20229.30132,358585.7495,378815.0508,15014.13917,911424.758,926438.8972,3056.537235,-209913.8712,-206857.334,2079.6666,-280594.9028,-278515.2362
287,post-drought,11683.76744,79638.73607,91322.50351,8576.787161,316517.777,325094.5642,20295.20552,366501.2361,386796.4416,15066.63616,914611.5579,929678.194,3072.32937,-207223.7639,-204151.4346,2086.938162,-281576.0039,-279489.0657
288,post-drought,11724.61561,84941.53302,96666.14863,8606.671436,317620.6264,326227.2978,20361.10972,374416.7227,394777.8324,15119.13315,917798.3577,932917.4909,3088.121504,-204533.6567,-201445.5352,2094.209723,-282557.1049,-280462.8952
289,post-drought,11765.46378,90244.32996,102009.7937,8636.555712,318723.4758,327360.0315,20427.01392,382332.2093,402759.2233,15171.63014,920985.1576,936156.7877,3103.913639,-201843.5494,-198739.6358,2101.481285,-283538.206,-281436.7247
290,post-drought,11806.31195,95547.12691,107353.4389,8666.439988,319826.3252,328492.7652,20492.91812,390247.696,410740.6141,15224.12713,924171.9574,939396.0846,3119.705773,-199153.4422,-196033.7364,2108.752846,-284519.307,-282410.5542
291,post-drought,11847.16011,100849.9239,112697.084,8696.324264,320929.1746,329625.4989,20558.82232,398163.1826,418722.0049,15276.62412,927358.7573,942635.3814,3135.497908,-196463.3349,-193327.837,2116.024408,-285500.4081,-283384.3837
292,post-drought,11888.00828,106152.7208,118040.7291,8726.20854,322032.024,330758.2325,20624.72652,406078.6692,426703.3958,15329.12111,930545.5571,945874.6783,3151.290043,-193773.2276,-190621.9376,2123.295969,-286481.5092,-284358.2132
293,post-drought,11928.85645,111455.5177,123384.3742,8756.092815,323134.8734,331890.9662,20690.63072,413994.1559,434684.7866,15381.6181,933732.357,949113.9751,3167.082177,-191083.1204,-187916.0382,2130.567531,-287462.6102,-285332.0427
294,post-drought,11969.70462,116758.3147,128728.0193,8785.977091,324237.7228,333023.6999,20756.53492,421909.6425,442666.1774,15434.11509,936919.1569,952353.2719,3182.874312,-188393.0131,-185210.1388,2137.839092,-288443.7113,-286305.8722
295,post-drought,12010.55278,122061.1116,134071.6644,8815.861367,325340.5722,334156.4336,20822.43912,429825.1291,450647.5683,15486.61208,940105.9567,955592.5688,3198.666446,-185702.9059,-182504.2394,2145.110654,-289424.8123,-287279.7017
296,post-drought,12051.40095,127363.9086,139415.3095,8845.745643,326443.4216,335289.1672,20888.34332,437740.6158,458628.9591,15539.10907,943292.7566,958831.8656,3214.458581,-183012.7986,-179798.34,2152.382216,-290405.9134,-288253.5312
297,post-drought,12092.24912,132666.7055,144758.9546,8875.629919,327546.271,336421.9009,20954.24752,445656.1024,466610.3499,15591.60606,946479.5564,962071.1625,3230.250715,-180322.6913,-177092.4406,2159.653777,-291387.0144,-289227.3607
298,post-drought,12133.09729,137969.5025,150102.5998,8905.514195,328649.1204,337554.6346,21020.15173,453571.589,474591.7408,15644.10305,949666.3563,965310.4593,3246.04285,-177632.5841,-174386.5412,2166.925339,-292368.1155,-290201.1902
299,post-drought,12173.94546,143272.2994,155446.2449,8935.39847,329751.9698,338687.3682,21086.05593,461487.0757,482573.1316,15696.60004,952853.1561,968549.7562,3261.834984,-174942.4768,-171680.6418,2174.1969,-293349.2166,-291175.0197
300,post-drought,12214.79362,148575.0964,160789.89,8965.282746,330854.8192,339820.1019,21151.96013,469402.5623,490554.5224,15749.09703,956039.956,971789.053,3277.627119,-172252.3696,-168974.7424,2181.468462,-294330.3176,-292148.8492
301,post-drought,12255.64179,153877.8933,166133.5351,8995.167022,331957.6686,340952.8356,21217.86433,477318.0489,498535.9132,15801.59402,959226.7558,975028.3498,3293.419254,-169562.2623,-166268.8431,2188.740023,-295311.4187,-293122.6787
302,post-drought,12296.48996,159180.6903,171477.1802,9025.051298,333060.518,342085.5693,21283.76853,485233.5356,506517.3041,15854.09101,962413.5557,978267.6467,3309.211388,-166872.155,-163562.9437,2196.011585,-296292.5197,-294096.5082
303,post-drought,12337.33813,164483.4872,176820.8253,9054.935574,334163.3674,343218.3029,21349.67273,493149.0222,514498.6949,15906.588,965600.3555,981506.9435,3325.003523,-164182.0478,-160857.0443,2203.283146,-297273.6208,-295070.3377
304,post-drought,12378.18629,169786.2841,182164.4704,9084.819849,335266.2168,344351.0366,21415.57693,501064.5088,522480.0857,15959.08499,968787.1554,984746.2404,3340.795657,-161491.9405,-158151.1449,2210.554708,-298254.7219,-296044.1672
305,post-drought,12419.03446,175089.0811,187508.1155,9114.704125,336369.0662,345483.7703,21481.48113,508979.9954,530461.4766,16011.58198,971973.9552,987985.5372,3356.587792,-158801.8333,-155445.2455,2217.826269,-299235.8229,-297017.9966
306,post-drought,12459.88263,180391.878,192851.7607,9144.588401,337471.9156,346616.504,21547.38533,516895.4821,538442.8674,16064.07897,975160.7551,991224.8341,3372.379926,-156111.726,-152739.3461,2225.097831,-300216.924,-297991.8261
307,post-drought,12500.7308,185694.675,198195.4058,9174.472677,338574.765,347749.2376,21613.28953,524810.9687,546424.2582,16116.57596,978347.5549,994464.1309,3388.172061,-153421.6188,-150033.4467,2232.369392,-301198.025,-298965.6556
308,post-drought,12541.57896,190997.4719,203539.0509,9204.356953,339677.6144,348881.9713,21679.19373,532726.4553,554405.6491,16169.07295,981534.3548,997703.4277,3403.964195,-150731.5115,-147327.5473,2239.640954,-302179.1261,-299939.4851
309,post-drought,12582.42713,196300.2689,208882.696,9234.241229,340780.4637,350014.705,21745.09793,540641.942,562387.0399,16221.56994,984721.1546,1000942.725,3419.75633,-148041.4042,-144621.6479,2246.912516,-303160.2272,-300913.3146
310,post-drought,12623.2753,201603.0658,214226.3411,9264.125504,341883.3131,351147.4386,21811.00214,548557.4286,570368.4307,16274.06693,987907.9545,1004182.021,3435.548465,-145351.297,-141915.7485,2254.184077,-304141.3282,-301887.1441
311,post-drought,12664.12347,206905.8628,219569.9862,9294.00978,342986.1625,352280.1723,21876.90634,556472.9152,578349.8216,16326.56392,991094.7544,1007421.318,3451.340599,-142661.1897,-139209.8491,2261.455639,-305122.4293,-302860.9736
312,post-drought,12704.97164,212208.6597,224913.6313,9323.894056,344089.0119,353412.906,21942.81054,564388.4019,586331.2124,16379.06091,994281.5542,1010660.615,3467.132734,-139971.0825,-136503.9497,2268.7272,-306103.5303,-303834.8031
313,post-drought,12745.8198,217511.4566,230257.2765,9353.778332,345191.8613,354545.6397,22008.71474,572303.8885,594312.6032,16431.5579,997468.3541,1013899.912,3482.924868,-137280.9752,-133798.0503,2275.998762,-307084.6314,-304808.6326
314,post-drought,12786.66797,222814.2536,235600.9216,9383.662608,346294.7107,355678.3733,22074.61894,580219.3751,602293.9941,16484.05489,1000655.154,1017139.209,3498.717003,-134590.8679,-131092.1509,2283.270323,-308065.7324,-305782.4621
315,post-drought,12827.51614,228117.0505,240944.5667,9413.546883,347397.5601,356811.107,22140.52314,588134.8618,610275.3849,16536.55188,1003841.954,1020378.506,3514.509137,-131900.7607,-128386.2515,2290.541885,-309046.8335,-306756.2916
316,post-drought,12868.36431,233419.8475,246288.2118,9443.431159,348500.4095,357943.8407,22206.42734,596050.3484,618256.7757,16589.04887,1007028.754,1023617.802,3530.301272,-129210.6534,-125680.3521,2297.813446,-310027.9346,-307730.1211
317,post-drought,12909.21247,238722.6444,251631.8569,9473.315435,349603.2589,359076.5744,22272.33154,603965.835,626238.1666,16641.54586,1010215.553,1026857.099,3546.093406,-126520.5462,-122974.4527,2305.085008,-311009.0356,-308703.9506
318,post-drought,12950.06064,244025.4414,256975.502,9503.199711,350706.1083,360209.308,22338.23574,611881.3216,634219.5574,16694.04285,1013402.353,1030096.396,3561.885541,-123830.4389,-120268.5534,2312.356569,-311990.1367,-309677.7801
319,post-drought,12990.90881,249328.2383,262319.1471,9533.083987,351808.9577,361342.0417,22404.13994,619796.8083,642200.9482,16746.53984,1016589.153,1033335.693,3577.677676,-121140.3316,-117562.654,2319.628131,-312971.2377,-310651.6096
320,post-drought,13031.75698,254631.0353,267662.7922,9562.968263,352911.8071,362474.7754,22470.04414,627712.2949,650182.3391,16799.03683,1019775.953,1036574.99,3593.46981,-118450.2244,-114856.7546,2326.899692,-313952.3388,-311625.4391
321,post-drought,13072.60514,259933.8322,273006.4374,9592.852538,354014.6565,363607.5091,22535.94834,635627.7815,658163.7299,16851.53382,1022962.753,1039814.287,3609.261945,-115760.1171,-112150.8552,2334.171254,-314933.4399,-312599.2686
322,post-drought,13113.45331,265236.6292,278350.0825,9622.736814,355117.5059,364740.2427,22601.85254,643543.2682,666145.1207,16904.03081,1026149.553,1043053.584,3625.054079,-113070.0099,-109444.9558,2341.442816,-315914.5409,-313573.0981
323,post-drought,13154.30148,270539.4261,283693.7276,9652.62109,356220.3553,365872.9764,22667.75675,651458.7548,674126.5116,16956.5278,1029336.353,1046292.88,3640.846214,-110379.9026,-106739.0564,2348.714377,-316895.642,-314546.9276
324,post-drought,13195.14965,275842.223,289037.3727,9682.505366,357323.2047,367005.7101,22733.66095,659374.2414,682107.9024,17009.02479,1032523.152,1049532.177,3656.638348,-107689.7953,-104033.157,2355.985939,-317876.743,-315520.7571
325,post-drought,13235.99782,281145.02,294381.0178,9712.389642,358426.0541,368138.4437,22799.56515,667289.7281,690089.2932,17061.52178,1035709.952,1052771.474,3672.430483,-104999.6881,-101327.2576,2363.2575,-318857.8441,-316494.5866
326,post-drought,13276.84598,286447.8169,299724.6629,9742.273918,359528.9035,369271.1774,22865.46935,675205.2147,698070.684,17114.01877,1038896.752,1056010.771,3688.222618,-102309.5808,-98621.3582,2370.529062,-319838.9452,-317468.4161
