"Date2","Sensor01","Sensor02","Sensor03","Sensor04","Sensor05","Sensor06","Sensor07","Sensor08","Sensor09","Sensor10","Sensor11","Sensor12","Sensor13","Sensor14","Sensor15","Sensor16","Sensor17","Sensor18","Sensor19","Sensor20","Sensor21","Sensor22","Sensor23","Sensor24","Sensor25","Sensor26","Sensor27","Sensor28","Sensor29","Sensor30","Sensor31","Sensor32","Sensor33","Sensor34","Sensor35"
"2015-10-23",18.282716584,18.2808823196667,18.8538760208333,18.5502377483333,17.110018466,16.507958150875,13.954219936875,17.994489195,19.822826447,19.5968023416667,18.450013435,18.675561453625,17.57858837075,18.10375470825,18.733724244,19.0179431692917,17.3279967556667,17.701401546125,18.438469539,17.633977882,NA,NA,18.2946283975,18.8201296083333,17.54670888275,18.0466099208333,17.57912148325,14.9565242239167,19.62085137625,17.8830034486667,17.7240036773333,18.075269510625,17.4798415856667,18.56319775775,15.8382130933333
"2015-10-24",18.4406293975833,18.289844503,18.7870498581667,18.6719777064583,17.2811577073333,16.968818182,14.3398979437917,17.9200972091667,19.737760461875,19.63641662925,18.54718190575,19.0808442325,18.0671214635,17.97258664425,18.578997504,19.0910965439583,17.4335243231667,17.73705665,18.6604918135,17.845194992,NA,NA,18.309769751,18.8812610916667,17.614481914,18.4410346333333,17.60251133925,14.8544590668333,19.678964873125,17.960091294,17.7667006883333,18.3454116317083,17.5782232166667,18.635854516625,16.1253010083333
"2015-10-25",18.5869361469167,18.3636928936667,18.8992742291667,18.7461657866667,17.3253627603333,16.950147157875,13.1702364859583,17.9450213783333,19.677969071,19.717923902375,18.605762897375,18.961481306125,18.20714687225,17.97634406275,18.4826616885,19.1427962847083,17.49147191725,17.82501797225,18.8263763375,17.986120416,NA,NA,18.367518169,18.9729583166667,17.6500853464167,18.5550435283333,17.616947266,15.30458370875,19.803518576875,18.08966081975,17.8832703056667,18.5486378145417,17.5558316985,18.7126532285,16.1316571983333
"2015-10-26",18.53488470725,18.6526336843333,19.0251180626667,18.67716193375,17.0382962113333,16.313668583,12.3362844625833,18.0135152783333,19.64137749425,19.6898783890417,18.58636919025,18.902574926875,18.202936958,18.62466954575,18.407324502,19.0532889104167,17.4113079931667,17.82284608775,18.7943457891667,17.840235238,NA,NA,18.30184694975,18.9801301666667,17.6249641428333,18.5410323341667,17.451025475,15.3220558797083,19.78599779125,18.0031090648333,17.9174956875,18.583511994,17.5905649983333,18.632402889125,15.7031440558333
"2015-10-27",18.4316610752083,18.7868871906667,19.0276603623333,18.572583555625,16.780877228,15.49694992375,12.8877426792083,18.053850575,19.856022929,19.6933840782083,18.5835700985,18.728783884,17.65802762225,18.69025357775,18.5961279645,19.021811857375,17.3229980814167,17.769815907875,18.5232662011667,17.655185106,NA,NA,18.34445401425,18.929073425,17.5432750491667,18.1890250725,17.44737081,15.075715568375,19.73742531625,18.1003292269167,17.8134640813333,18.2924807705,17.5168669306667,18.457923119,15.7095002458333
"2015-10-28",18.4126693337083,18.7548025743333,18.9884363103333,18.5212775820833,16.7034740026667,15.0913635185,13.2389658220833,18.0489037933333,19.851684752375,19.6129285118333,18.47840422275,18.479206856125,17.2851756515,18.58094685775,18.7073838585,18.9514720740417,17.2872668173333,17.716785728,18.35856175,17.46089957,NA,NA,18.306248506,18.8761383416667,17.4715260000833,18.0276084383333,17.41137235975,15.3687636634583,19.709843089375,17.89866191725,17.7509434580833,18.1489124479583,17.4131959646667,18.43341656375,15.5640141191667
"2015-10-29",18.3403952063333,18.692605022,18.973545698,18.502864636875,16.7166112473333,15.229085429125,12.6084959277083,17.9615740708333,19.775483736875,19.5829548694583,18.468607401625,18.42288409,17.26632255725,18.62842696425,18.5707085715,18.9127851932083,17.2550531388333,17.690542123625,18.4032359358333,17.487237574,NA,NA,18.237232104,18.8390837833333,17.4391756731667,18.1107159325,17.335538061,15.2011346173333,19.676883195625,17.8657963403333,17.7231565144167,18.154400263,17.3802257765,18.306569253125,15.8180851583333
"2015-10-30",18.3632556359167,18.661416624,18.9826253396667,18.5673993283333,16.92041607,15.82674306275,13.1621188478333,17.9655695483333,19.759451345,19.6087216848333,18.46240941275,18.24272013475,17.382186719,21.531374339,18.576787122,18.9713430628333,17.3168885906667,17.69108509475,18.4499331036667,17.50622146,16.485440201,NA,18.25413408,18.84659715,17.4768656934545,18.1508301733333,17.3812213735,14.3513989366667,19.6961387125,17.958026441,17.7202761605,18.3905533360833,17.4107276083333,18.38785508075,15.83326939
"2015-10-31",18.1184028501333,18.7009936256,18.8757761165333,18.4269603986667,16.3421642682667,15.0308767948,13.2078662484667,17.6909090093333,19.8913319144,19.7025339269333,18.4807234702,18.1111970026,17.3861403776,18.3750061656,18.5545359432,19.0665831294667,17.2597185681333,17.6200644716,18.2745405642667,16.9964271592,10.0159427666,17.3402514146667,18.3293478732,18.7662041266667,19.6146357578667,18.0209291293333,17.274870622,13.4886542732667,19.627720912,17.7048754632,17.4496584384,17.9578302687333,17.0796152373333,18.3010811654,15.7924485253333
"2015-11-01",18.2582735092917,18.620549068,18.9788118901667,18.3802308464583,16.4680687806667,14.765267612,13.0625424868333,17.9480655516667,19.705318445375,19.6199398901667,18.530587290375,18.02707455925,17.34502964975,17.49163707625,18.3485651805,18.8748017102083,17.2654207595,17.659411779125,18.678192906,16.491524202,5.860727122625,17.539906405,18.1946250395,18.8636729833333,19.47525826,17.8696466191667,16.9909031515,15.03679241525,19.60419795625,17.815551584,17.7846605421667,18.2034365457917,17.097246354,18.154179899,15.7253907208333
